Optimizer,objfname,ExecutionTime,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10,Iter11,Iter12,Iter13,Iter14,Iter15,Iter16,Iter17,Iter18,Iter19,Iter20,Iter21,Iter22,Iter23,Iter24,Iter25,Iter26,Iter27,Iter28,Iter29,Iter30,Iter31,Iter32,Iter33,Iter34,Iter35,Iter36,Iter37,Iter38,Iter39,Iter40,Iter41,Iter42,Iter43,Iter44,Iter45,Iter46,Iter47,Iter48,Iter49,Iter50
GRMO,F5,4.88,263341306.58,631.15,53.45,43.77,29.34,28.99,28.97,28.97,28.96,28.96,28.96,28.96,28.96,28.96,28.96,28.96,28.96,28.96,28.96,28.96,28.96,28.96,28.96,28.96,28.96,28.96,28.96,28.96,28.96,28.96,28.96,28.96,28.96,28.96,28.96,28.96,28.96,28.96,28.96,28.96,28.96,28.96,28.96,28.96,28.96,28.96,28.96,28.96,28.96,28.96
GRMO,F6,3.23,72402.81,387.94,16.37,7.52,6.78,6.59,6.57,6.54,6.52,6.52,6.51,6.49,6.49,6.49,6.48,6.46,6.46,6.46,6.45,6.45,6.44,6.44,6.43,6.43,6.42,6.42,6.41,6.41,6.4,6.39,6.39,6.38,6.38,6.38,6.37,6.37,6.37,6.36,6.36,6.35,6.34,6.34,6.33,6.33,6.33,6.33,6.32,6.32,6.32,6.32
GRMO,F7,3.04,112.05,0.51,0.11,0.06,0.05,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
