Optimizer,objfname,ExecutionTime,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10,Iter11,Iter12,Iter13,Iter14,Iter15,Iter16,Iter17,Iter18,Iter19,Iter20,Iter21,Iter22,Iter23,Iter24,Iter25,Iter26,Iter27,Iter28,Iter29,Iter30,Iter31,Iter32,Iter33,Iter34,Iter35,Iter36,Iter37,Iter38,Iter39,Iter40,Iter41,Iter42,Iter43,Iter44,Iter45,Iter46,Iter47,Iter48,Iter49,Iter50,Iter51,Iter52,Iter53,Iter54,Iter55,Iter56,Iter57,Iter58,Iter59,Iter60,Iter61,Iter62,Iter63,Iter64,Iter65,Iter66,Iter67,Iter68,Iter69,Iter70,Iter71,Iter72,Iter73,Iter74,Iter75,Iter76,Iter77,Iter78,Iter79,Iter80,Iter81,Iter82,Iter83,Iter84,Iter85,Iter86,Iter87,Iter88,Iter89,Iter90,Iter91,Iter92,Iter93,Iter94,Iter95,Iter96,Iter97,Iter98,Iter99,Iter100,Iter101,Iter102,Iter103,Iter104,Iter105,Iter106,Iter107,Iter108,Iter109,Iter110,Iter111,Iter112,Iter113,Iter114,Iter115,Iter116,Iter117,Iter118,Iter119,Iter120,Iter121,Iter122,Iter123,Iter124,Iter125,Iter126,Iter127,Iter128,Iter129,Iter130,Iter131,Iter132,Iter133,Iter134,Iter135,Iter136,Iter137,Iter138,Iter139,Iter140,Iter141,Iter142,Iter143,Iter144,Iter145,Iter146,Iter147,Iter148,Iter149,Iter150,Iter151,Iter152,Iter153,Iter154,Iter155,Iter156,Iter157,Iter158,Iter159,Iter160,Iter161,Iter162,Iter163,Iter164,Iter165,Iter166,Iter167,Iter168,Iter169,Iter170,Iter171,Iter172,Iter173,Iter174,Iter175,Iter176,Iter177,Iter178,Iter179,Iter180,Iter181,Iter182,Iter183,Iter184,Iter185,Iter186,Iter187,Iter188,Iter189,Iter190,Iter191,Iter192,Iter193,Iter194,Iter195,Iter196,Iter197,Iter198,Iter199,Iter200
BBO,F1,1.41,72444.1,68546.63,68546.63,68546.63,57709.63,53576.99,53267.6,53267.6,53267.6,47700.72,47700.72,43604.45,42232.91,42232.91,42232.91,32734.49,32734.49,32734.49,32734.49,32734.49,32734.49,32442.65,32442.65,32442.65,32442.65,32442.65,26217.26,6165.71,6165.71,6165.71,6165.71,6108.63,814.31,814.31,814.31,475.36,475.36,475.36,474.33,474.33,474.33,473.45,473.45,473.45,216.73,216.73,216.73,215.94,215.94,215.94,215.44,215.44,215.44,215.44,215.44,215.44,215.44,215.44,215.44,215.44,215.44,215.44,215.44,215.44,188.93,188.93,40.71,40.71,40.71,40.71,40.71,37.72,37.72,37.72,37.72,37.72,37.72,37.72,24.73,24.73,24.73,24.73,24.73,24.73,24.73,23.63,23.63,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.39,16.39,16.39,16.39,16.39,16.39,16.39,16.39,16.39,16.39,16.39,16.39,16.39,16.39,14.43,14.43,14.43,4.73,3.44,0.68,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.36,0.36,0.36,0.36,0.36,0.36,0.33,0.15,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
BBO,F2,1.15,673748733079.96,2521798819.33,2521798819.33,2521798819.33,2502387585.96,2502387585.96,2502387579.18,87752411.0,145.18,145.18,145.18,32.53,32.53,28.32,28.32,28.32,25.32,25.32,23.23,23.23,23.23,23.23,23.23,23.23,23.23,23.23,23.23,18.2,18.2,18.2,18.2,18.2,18.2,18.2,18.2,18.2,18.2,18.2,13.99,13.99,13.99,13.99,13.99,13.87,12.61,11.61,11.16,11.16,11.16,11.16,11.16,9.4,7.62,7.62,7.62,7.62,7.62,7.62,7.62,7.62,7.62,7.62,6.46,4.7,4.7,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.09,4.09,3.15,3.15,3.15,3.15,2.83,2.83,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,1.65,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28,0.72,0.72,0.72,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.53,0.48,0.43,0.41,0.41,0.41,0.39,0.36,0.36,0.36,0.35,0.35,0.35,0.34,0.33,0.31,0.31,0.31,0.31,0.31,0.29,0.29,0.29,0.29,0.29,0.28,0.25,0.24,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19
BBO,F3,4.6,146577.9,104779.72,104779.72,104779.72,104779.72,104779.72,104779.72,104779.72,104779.72,104779.72,104779.72,104779.72,104779.72,101286.96,101286.96,87884.93,87884.93,87884.93,87884.93,87788.93,87788.93,87788.93,87788.93,87788.93,87788.93,87788.93,87788.93,87788.93,87788.93,87788.93,87788.93,64187.8,64187.8,64187.8,64187.8,64187.8,64187.8,64187.8,64187.8,64187.8,64187.8,64187.8,64187.8,64187.8,64187.8,64187.8,64187.8,64187.8,64187.8,57743.29,38411.2,38411.2,38411.2,38411.2,38411.2,38411.2,38411.2,38411.2,38411.2,38411.2,29769.64,29769.64,29769.64,29769.64,29769.64,29769.64,29769.64,29769.64,29769.64,29769.64,29769.64,29769.64,29769.64,29769.64,29769.64,29769.64,29769.64,29769.64,29769.64,14406.22,14406.22,14406.22,14406.22,14406.22,7362.66,7362.66,7362.66,7362.66,7362.66,7362.66,7362.66,7362.66,7362.66,7362.66,7362.66,7362.66,6290.03,6290.03,6290.03,6290.03,6290.03,6290.03,6290.03,5807.82,5807.82,5720.14,5720.14,5720.14,5439.89,5439.89,5439.89,5439.89,5439.89,5439.89,5439.89,5439.89,5439.89,5439.89,2950.89,2950.89,2945.36,2945.36,1397.6,1277.97,1277.97,1277.97,1187.12,926.58,896.63,894.25,894.25,889.5,889.5,889.5,887.35,880.98,877.52,876.37,876.37,876.37,876.37,876.37,876.37,875.94,378.92,378.92,378.92,195.04,195.04,195.04,172.66,172.66,172.66,131.49,131.49,131.49,131.49,115.99,115.99,115.99,99.76,99.76,75.48,75.14,75.14,75.14,75.14,75.11,71.01,51.7,51.7,51.7,51.63,47.43,47.28,47.07,46.96,46.96,46.96,38.45,36.15,35.79,34.25,34.25,34.16,34.16,34.1,34.1,34.1,33.87,33.87,33.13,30.13,30.08,28.56,27.9,27.81,27.77,27.54,27.5
BBO,F4,0.63,87.53,87.06,81.17,68.77,68.77,68.77,68.77,68.77,66.68,66.68,51.73,46.19,46.19,43.63,43.63,43.63,43.63,29.1,29.1,29.1,19.4,19.4,12.45,11.67,10.62,10.34,10.34,10.34,10.34,10.34,10.34,10.34,10.34,9.48,9.48,9.48,6.27,6.27,6.27,4.53,3.95,3.95,3.95,3.95,3.95,3.02,3.02,3.02,3.02,3.02,3.02,3.02,3.02,3.02,3.02,3.02,3.02,3.02,3.02,1.31,1.22,1.22,1.22,1.22,1.22,1.08,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.86,0.86,0.86,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.52,0.52,0.52,0.52,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.38,0.38,0.38,0.38,0.26,0.25,0.25,0.18,0.18,0.18,0.15,0.15,0.15,0.15,0.15,0.13,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
BBO,F5,0.85,244237132.67,244237132.67,244237132.67,244237132.67,244237132.67,244237132.67,99781995.78,72467779.89,62332813.4,62332813.4,61358779.0,45356070.15,2360528.57,2360528.57,2360528.57,1307921.99,1307921.99,1307340.09,1307340.09,1307340.09,1307340.09,1122138.91,1122138.91,1122138.91,170829.53,170829.53,170829.53,170829.53,170829.53,170829.53,170829.53,170829.53,170829.53,170829.53,170829.53,26364.07,26364.07,26364.07,25438.91,25438.91,25438.91,25438.91,25438.91,10685.36,10685.36,10685.36,9149.62,9149.62,9149.62,9149.62,9149.62,9149.62,9149.62,9149.62,9149.62,2550.89,2550.89,2550.89,2550.89,2550.89,2550.89,2550.89,2550.89,2550.89,2550.89,2550.89,2550.89,2550.89,2550.89,2550.89,2550.89,2550.89,2550.89,2550.89,1131.27,1131.27,1082.29,1082.29,1054.25,1054.25,1054.25,1054.25,1054.25,1054.25,1054.25,1054.25,297.55,297.55,297.55,297.55,293.43,293.17,51.89,51.89,51.89,51.89,51.89,51.53,51.53,51.53,51.53,51.53,51.53,51.53,50.68,50.68,48.37,48.37,48.37,43.24,43.24,43.24,43.24,43.24,43.24,43.24,36.7,36.7,36.7,36.7,36.7,36.7,36.7,33.68,33.68,33.68,33.68,33.68,33.68,31.83,31.83,31.83,31.83,28.56,28.56,28.56,28.56,27.86,27.17,26.16,24.71,24.71,24.71,24.71,24.71,24.71,24.71,24.71,24.71,22.79,22.79,22.79,22.79,22.79,22.51,18.39,18.39,16.66,16.66,16.66,16.66,16.66,16.66,16.66,16.66,16.66,16.66,16.66,16.66,16.37,16.27,16.27,16.27,15.67,15.51,15.33,15.29,14.86,14.86,14.72,14.72,14.71,14.71,14.68,14.49,14.48,14.45,14.28,14.2,14.2,14.18,14.17,14.17,14.15,14.11,14.08,14.07,14.07,14.06,14.06
BBO,F6,0.68,66312.61,66312.61,62438.52,62438.52,62438.52,55354.43,55354.43,49395.73,49395.73,49395.73,49395.73,49395.73,49395.73,49395.73,49395.73,49395.73,49205.44,49205.44,33373.1,33373.1,33373.1,33373.1,25284.98,21478.5,7295.32,7295.32,7295.32,7295.32,7295.32,7295.32,5280.69,5280.69,5280.69,2348.62,1700.54,1700.54,1700.54,1700.54,1700.54,1700.54,1700.54,1700.54,1700.54,1700.54,1700.54,1399.72,1399.72,1399.72,1399.72,1399.72,1399.72,1399.72,735.89,735.89,735.89,735.89,735.89,735.89,735.89,735.89,706.12,706.12,706.12,706.12,706.12,52.78,52.78,52.78,52.78,52.78,52.78,52.02,51.25,51.25,51.25,51.25,51.25,51.25,51.25,51.25,51.25,51.25,51.25,22.31,22.04,22.04,22.04,22.04,22.04,22.04,22.04,22.04,22.04,19.07,9.38,9.38,8.79,8.79,8.79,8.79,8.79,8.79,8.79,8.79,8.67,8.67,8.67,8.67,8.67,8.67,8.67,8.67,8.67,8.67,8.67,8.67,8.67,8.67,8.67,8.67,8.29,8.29,3.57,3.57,3.28,1.25,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.59,0.59,0.59,0.59,0.53,0.52,0.52,0.52,0.52,0.41,0.41,0.4,0.4,0.4,0.39,0.37,0.37,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.32,0.32,0.32,0.31,0.31,0.31,0.3,0.3,0.3,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.27,0.26,0.26,0.26,0.26,0.26
BBO,F7,1.17,107.12,81.38,42.69,42.69,42.69,42.69,42.69,39.73,39.73,39.73,39.73,18.13,18.13,3.37,2.85,2.85,2.85,2.85,2.85,2.85,2.85,2.85,2.85,2.85,2.85,2.85,2.85,2.85,2.02,2.02,1.09,1.09,1.09,1.09,1.09,1.09,1.09,1.09,0.92,0.92,0.57,0.46,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.28,0.27,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.18,0.18,0.18,0.18,0.18,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
BBO,F8,0.69,-1786.57,-5035.99,-5291.81,-5455.57,-5687.53,-6114.62,-6114.62,-6114.62,-6114.62,-6114.62,-6592.73,-6592.73,-6592.73,-7981.41,-8315.74,-8315.74,-8344.76,-8344.76,-8953.41,-8953.41,-8953.41,-8953.41,-8953.41,-8953.41,-8953.41,-9205.11,-9205.11,-9205.11,-9717.69,-10184.66,-10401.69,-10401.69,-10713.33,-10713.33,-10713.33,-10713.33,-11294.4,-11294.4,-11294.4,-11294.4,-11446.38,-12480.81,-12480.81,-12480.81,-12480.81,-12480.81,-12480.81,-12486.29,-12486.29,-12486.29,-12486.29,-12486.29,-12486.29,-12486.29,-12498.2,-12498.2,-12498.2,-12498.2,-12498.2,-12498.2,-12512.11,-12512.11,-12512.11,-12512.11,-12512.11,-12512.11,-12512.11,-12512.11,-12512.11,-12512.11,-12512.11,-12519.83,-12519.83,-12519.83,-12519.83,-12519.83,-12519.83,-12519.83,-12551.16,-12551.16,-12563.43,-12563.43,-12563.43,-12563.43,-12563.43,-12563.43,-12563.43,-12563.43,-12563.43,-12563.9,-12563.9,-12563.9,-12563.9,-12563.9,-12563.9,-12563.9,-12563.9,-12563.9,-12564.39,-12564.39,-12564.39,-12564.39,-12564.39,-12564.39,-12564.39,-12564.39,-12564.39,-12564.39,-12564.39,-12564.39,-12564.39,-12564.39,-12564.39,-12564.39,-12564.39,-12564.39,-12564.39,-12564.39,-12564.39,-12564.39,-12568.73,-12568.73,-12568.73,-12568.73,-12568.73,-12568.73,-12568.73,-12568.73,-12568.73,-12568.73,-12568.73,-12568.73,-12568.76,-12568.76,-12568.76,-12568.76,-12568.76,-12568.76,-12568.76,-12568.76,-12568.76,-12568.76,-12568.76,-12568.76,-12568.76,-12568.76,-12568.76,-12568.76,-12568.76,-12568.76,-12568.76,-12568.76,-12568.76,-12568.76,-12568.76,-12568.76,-12568.76,-12568.76,-12568.76,-12568.76,-12568.76,-12568.76,-12568.76,-12568.77,-12568.77,-12568.77,-12568.77,-12568.77,-12568.77,-12568.77,-12568.77,-12568.77,-12568.95,-12568.95,-12568.95,-12568.95,-12568.95,-12568.95,-12568.95,-12568.97,-12568.97,-12568.97,-12568.97,-12568.97,-12568.97,-12568.97,-12568.97,-12568.97,-12568.97,-12569.24,-12569.24,-12569.24,-12569.24,-12569.24,-12569.24,-12569.26,-12569.26,-12569.26,-12569.26,-12569.26
BBO,F9,0.84,415.6,415.6,386.33,386.33,352.57,346.78,346.78,346.78,346.78,346.78,346.78,346.78,346.78,346.78,346.78,315.5,315.5,251.82,251.82,237.97,237.97,237.97,233.04,233.04,215.63,215.63,215.63,215.63,215.63,161.34,161.34,161.34,161.34,161.34,161.34,161.34,161.34,161.34,161.34,161.34,161.34,161.34,161.34,161.34,161.34,161.34,161.34,161.34,161.34,161.34,161.34,161.34,135.08,135.08,135.08,135.08,135.08,135.08,135.08,135.08,126.52,126.52,126.52,126.52,126.52,126.52,126.52,126.52,126.52,126.52,99.38,99.38,99.38,99.38,99.38,80.07,80.07,80.07,80.07,80.07,80.07,80.07,80.07,46.1,46.1,46.1,46.1,46.1,45.43,45.43,45.43,45.43,45.43,45.43,45.43,45.43,45.43,44.3,44.3,44.3,44.3,44.3,44.3,44.16,44.16,44.16,38.86,11.94,11.94,11.94,11.94,11.94,11.01,11.01,11.01,11.01,11.01,11.01,11.01,11.01,11.01,10.9,10.9,10.9,10.9,10.85,10.85,10.85,10.85,10.85,10.82,10.82,10.82,10.82,10.82,7.5,7.5,7.5,7.49,6.66,6.66,4.05,4.05,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,2.33,2.33,2.33,2.33,2.33,2.33,2.33,2.33,1.13,1.13,1.13,1.04,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.74,0.74,0.74,0.74,0.72,0.72,0.72,0.67,0.67,0.67,0.67,0.66,0.64,0.64,0.64,0.64,0.64,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63
BBO,F10,1.02,20.79,19.97,19.97,19.93,19.28,10.8,9.22,9.22,9.22,9.22,9.22,6.23,6.23,6.23,6.23,6.23,6.23,6.23,6.23,6.23,6.23,6.23,6.23,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,3.89,3.89,3.89,3.89,3.89,3.89,3.89,3.89,3.89,3.89,3.89,3.89,3.89,3.89,3.89,3.77,3.77,3.77,3.77,3.29,3.29,3.29,3.29,3.29,3.29,3.29,3.29,3.29,3.29,3.29,3.29,3.29,3.29,3.29,3.29,3.29,3.29,3.29,3.29,3.29,3.29,3.29,3.29,3.29,3.29,3.29,2.76,2.76,2.76,2.76,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.14,2.14,2.14,2.14,2.14,2.02,2.02,1.85,1.85,1.38,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.3,1.3,1.3,1.3,1.3,1.24,1.24,1.24,1.24,1.21,1.21,1.21,1.21,1.21,0.96,0.96,0.72,0.67,0.57,0.57,0.56,0.34,0.28,0.27,0.25,0.25,0.25,0.25,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.18,0.18,0.16,0.15,0.15,0.15,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
