Optimizer,objfname,ExecutionTime,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10,Iter11,Iter12,Iter13,Iter14,Iter15,Iter16,Iter17,Iter18,Iter19,Iter20,Iter21,Iter22,Iter23,Iter24,Iter25,Iter26,Iter27,Iter28,Iter29,Iter30,Iter31,Iter32,Iter33,Iter34,Iter35,Iter36,Iter37,Iter38,Iter39,Iter40,Iter41,Iter42,Iter43,Iter44,Iter45,Iter46,Iter47,Iter48,Iter49,Iter50
HHO,F5,0.35,295306342.22,70478892.8,4081622.26,491746.64,22767.6,8723.37,147.96,78.19,56.92,42.59,35.67,31.15,30.02,26.48,22.16,21.93,17.21,4.31,1.98,1.84,1.5,1.3,1.3,1.15,1.15,1.14,1.14,1.14,0.99,0.92,0.91,0.91,0.9,0.78,0.57,0.52,0.5,0.49,0.48,0.48,0.48,0.48,0.48,0.47,0.47,0.47,0.47,0.47,0.47,0.47
HHO,F6,0.73,67069.34,6211.44,852.22,345.32,217.86,65.74,4.27,4.19,4.1,1.85,1.53,1.12,1.12,0.94,0.58,0.41,0.36,0.27,0.24,0.23,0.17,0.15,0.08,0.08,0.05,0.05,0.04,0.04,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01
HHO,F7,0.41,115.85,25.93,0.68,0.23,0.2,0.09,0.07,0.07,0.06,0.06,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HHO,F8,0.26,-1757.88,-2438.51,-4148.93,-5662.21,-6470.75,-6860.72,-7347.2,-7687.12,-9098.66,-9365.95,-9615.1,-9615.1,-9682.5,-9682.5,-9701.5,-9816.83,-9858.63,-9859.03,-9864.57,-9864.97,-9868.91,-9881.82,-9890.16,-9891.5,-9895.95,-9939.35,-9940.21,-9941.65,-9990.44,-10021.78,-10030.4,-10031.72,-10037.09,-10040.5,-10040.52,-10040.57,-10041.09,-10041.13,-10041.48,-10041.77,-10042.2,-10042.28,-10042.39,-10042.58,-10046.23,-10046.85,-10047.71,-10048.2,-10048.3,-10048.34
HHO,F9,0.27,447.06,310.56,270.24,176.64,94.38,74.59,35.8,15.0,13.25,6.2,0.94,0.09,0.09,0.08,0.08,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HHO,F10,0.29,20.62,17.71,10.87,7.74,4.62,3.32,2.11,0.9,0.75,0.63,0.21,0.11,0.05,0.03,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HHO,F11,0.31,657.97,313.83,73.57,9.95,5.05,1.87,1.39,1.2,1.06,1.04,0.83,0.82,0.5,0.09,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
