Optimizer,objfname,ExecutionTime,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10,Iter11,Iter12,Iter13,Iter14,Iter15,Iter16,Iter17,Iter18,Iter19,Iter20,Iter21,Iter22,Iter23,Iter24,Iter25,Iter26,Iter27,Iter28,Iter29,Iter30,Iter31,Iter32,Iter33,Iter34,Iter35,Iter36,Iter37,Iter38,Iter39,Iter40,Iter41,Iter42,Iter43,Iter44,Iter45,Iter46,Iter47,Iter48,Iter49,Iter50
GRMO,F1,4.535997152328491,62206.746160650255,1241.0666998395072,314.7521801892172,109.16785812512613,24.343419401242947,4.783210882694617,1.8019581918901337,0.2656406349218087,0.00921320295236494,0.00921320295236494,0.002600556714877492,0.00015410230069762049,6.83812789002179e-05,1.0519296578833517e-05,2.8817869379562426e-06,2.19355365306395e-06,7.178296803832353e-07,1.6126998782897875e-07,9.138718306457276e-10,9.138718306457276e-10,2.511365363149018e-11,2.511365363149018e-11,2.020381380713486e-11,4.969508778157477e-12,9.090996785761925e-13,9.62331135323824e-14,4.847344978111521e-15,9.881366975977648e-16,8.373173889977438e-16,9.904871810052362e-17,2.829629026324866e-17,1.5179988639250095e-18,7.3089381321301435e-19,9.653502717766997e-20,4.4918195470705466e-20,8.979731042139344e-21,5.405119968444139e-22,1.7226193557275855e-22,7.32329388225098e-23,2.7135195262566133e-23,1.1986375236570212e-23,5.904755786039406e-25,4.582879872193212e-26,2.1337471844035976e-26,1.6104874076638243e-27,6.35722506417306e-28,1.3063699488727325e-28,6.147105564421164e-29,1.1057296911801257e-29,2.719191169534204e-30
GRMO,F1,4.405994176864624,59522.22733831409,1101.1372683069874,521.0560187540167,69.65117275365706,25.422208859001323,8.13955755880393,1.3261231211587194,0.44252164005508493,0.057005234583216456,0.0019636688748272293,0.000837282149100892,0.0001372395072095415,9.479376485841192e-05,1.2883581092667247e-05,2.6485149450358757e-06,2.457962103586149e-07,1.4788058951641495e-08,1.4788058951641495e-08,2.8115433020588242e-09,4.685212864413978e-10,9.058980661061655e-11,4.315873491065989e-11,1.7636981434726e-11,1.044965058838668e-12,1.448641470669381e-13,1.0446458435304048e-13,1.5782809462938036e-14,3.2338249426125397e-15,8.277564152274412e-16,1.3895039388398556e-16,4.676688716064159e-17,4.561707363165456e-18,1.2952227375825995e-18,1.4172488745953095e-20,7.010563857430506e-21,5.5021063116234506e-21,1.9910035223837456e-21,4.511284215056055e-24,1.655254905829815e-24,1.6097066182179778e-24,6.376510794623229e-25,4.185526888993986e-25,7.44166014831406e-26,1.5965386483828278e-26,4.7760273306399275e-27,1.1372075414727265e-28,3.623080823380836e-29,1.4630370781628512e-29,2.0770844707966e-30,6.690487265752948e-31
GRMO,F1,3.5959932804107666,56321.79935917927,672.561850010575,88.10656130742008,30.33849550338101,3.202421516653417,1.2914322465066979,0.4345302013376852,0.040400214116320096,0.008983636336838435,0.002942897128658992,0.001004380301597061,9.816489692313778e-05,6.688034840749545e-05,3.536839846398224e-06,3.536839846398224e-06,1.131173149432761e-06,6.41712084779927e-08,2.0189730928739397e-08,1.0328420861666313e-08,6.910416731398966e-09,1.0694493535443974e-09,1.8869678460983318e-10,3.243371969324321e-11,9.761564371293473e-12,1.9426109203579033e-12,1.3731119448695119e-13,5.4820896260036956e-14,1.445404132173134e-14,9.532081290824953e-16,4.12228367500303e-16,3.469665073810169e-17,9.27493670946348e-18,7.035127165029077e-19,2.36632521355548e-19,8.829036473022306e-21,3.997955973722082e-21,3.2598420635981777e-21,4.877319532851768e-22,5.884712920920714e-23,2.5491494824795393e-24,7.653515009210557e-26,5.255199217126901e-26,5.255199217126901e-26,1.5987451715805e-26,1.8920671923695135e-27,1.1024040329219578e-28,3.490427775072102e-29,7.242006969107243e-30,4.3934027167913955e-30,1.3391892960496589e-30
GRMO,F2,2.990389347076416,20444006382151.492,18.185561899895145,11.895621176413124,4.635234829109352,1.6367535574413523,0.6711523735453812,0.41501218750207997,0.16568914095839843,0.09675679653108249,0.029420112471021106,0.022034869162327417,0.00993733905951204,0.005111028531207046,0.0024986920054447764,0.00045208250469873595,0.00013132319800035616,0.00013132319800035616,6.278077251810297e-05,2.4018327668401536e-05,2.4018327668401536e-05,6.96520121487719e-06,3.1262033217732546e-06,1.344451628486405e-06,9.52052715117164e-07,2.8689908364045883e-07,9.516548873255802e-08,4.977806295180937e-08,1.610909516193373e-08,1.0756979106772e-08,3.85914010109379e-09,2.1045403091857898e-09,1.236689960166208e-09,4.930604543464295e-10,2.193290367847612e-10,1.2157864805725003e-10,9.692902932885799e-11,2.8149320675923312e-11,1.4820114377936174e-11,3.0612606264695035e-12,2.8345473693863848e-12,2.106416833472214e-12,1.2081232862848838e-12,1.7448892716427693e-13,1.585528948912276e-13,7.809235088182393e-14,3.098736363979515e-14,2.4090632535257783e-14,1.5228341930160674e-14,6.97856122000456e-15,2.3241114424228064e-15
GRMO,F2,3.4457051753997803,328447931022.78357,12.742591371568517,8.576807972780445,4.402537852253055,1.5568700113091871,0.8166289883147547,0.46950792669259706,0.28403264784856597,0.12471657858130858,0.08537671805898397,0.024409282358674074,0.008198410918218182,0.004685308478329442,0.00185205900918576,0.0002942968001177397,0.00016364761779473873,8.027633330830538e-05,8.027633330830538e-05,5.815663191238728e-05,2.5668512362376947e-05,1.3702992367621063e-05,5.776811012259649e-06,2.0727806424255457e-06,4.062938705918107e-07,4.062938705918107e-07,9.649161623506325e-08,8.811673431792111e-08,3.116179822854521e-08,8.725164281602184e-09,6.906568699293089e-09,3.315023789897889e-09,1.4593017003639523e-09,5.011317507375158e-10,2.599317595496419e-10,1.2437108613289238e-10,7.772143344470951e-11,1.5629417680451698e-11,1.1312767415876417e-11,2.3751015938813486e-12,1.7319667534465563e-12,1.3359294421473313e-12,6.882956148158248e-13,2.8205623367775945e-13,6.241095364702668e-14,5.893111185391717e-14,3.058557961534537e-14,1.2709421461431685e-14,6.138174572114313e-15,3.807936114466659e-15,1.6530483920653217e-15
GRMO,F2,2.818458080291748,1332474600230.3584,13.807781154561807,6.242281561330712,2.266871646744872,1.154683730408362,0.3124764717545581,0.2545038666238356,0.08000040231769001,0.04416976533436448,0.026780519575104002,0.013481383181474352,0.005558923443268294,0.0037504278842601293,0.0008010625659203429,0.00012076532700966502,0.00012076532700966502,0.00011098305344427103,7.46525233570159e-05,4.153470938505897e-05,1.80731047304343e-05,2.8735779653979068e-06,2.253644724931546e-06,4.920591236352357e-07,3.3006811409238756e-07,2.875726581110604e-07,1.5780540041511742e-07,5.395900761712275e-08,2.5466753961978908e-08,8.969792651274721e-09,2.8095890566732144e-09,5.109757900751514e-10,5.109757900751514e-10,3.502135379464241e-10,1.4795264402629164e-10,3.382770641768145e-11,2.041881313166445e-11,1.3572091481601529e-11,6.639351596239614e-12,2.2953753441564056e-12,8.372236895900889e-13,3.8354397026268874e-13,2.914679025022993e-13,1.323244698988581e-13,2.3518581901741713e-14,1.4666089133943772e-14,1.3232206510555127e-14,5.8412828123639144e-15,1.2535014490190521e-15,5.086269877019473e-16,1.6870891488529712e-16
GRMO,F3,5.025953531265259,85370.34894023379,2212.7459801745663,875.0824434299858,268.05869643711793,84.65786800532156,12.441957384844033,1.8952472455385796,0.5452564281785232,0.12946215896837876,0.028249018797234276,0.00354019901849116,0.0006991753899884615,0.0002903639448373911,8.101229905788916e-05,1.8156052180780588e-05,6.237918355617224e-06,4.949205801176747e-07,6.200897090170087e-08,1.4298396685609189e-08,1.2181486440943759e-08,2.308566557434595e-09,7.907587965526182e-10,1.0177553316471422e-10,7.064815166294068e-12,2.7807422752016145e-13,6.983028508616854e-14,2.7812585639918623e-14,1.3345297442767637e-14,5.9831040264221275e-15,2.6227501644760065e-15,2.945434444825073e-16,2.6770942537441753e-17,7.931857384046343e-18,7.931857384046343e-18,4.752517644706279e-18,4.385659674417921e-19,5.225095088622821e-20,6.354460841730189e-21,4.5425957813412886e-21,4.3287001473889e-22,7.473640274803579e-23,5.562934446089354e-24,1.9255825640713508e-24,8.465846794946938e-25,1.2501628982957486e-25,1.6103961603734687e-27,1.6103961603734687e-27,7.442734954202075e-28,6.152074464451201e-29,5.479405686768069e-29
GRMO,F3,4.965728044509888,151598.59439799332,1538.6754846390759,596.9636215715803,267.21743232377435,22.26002637881158,7.223765320851434,2.2455095830719847,0.21608524033559304,0.013172712066344017,0.004291097004864904,0.0024730452773128278,0.00014867080035936876,0.00014793984825233394,2.314485415317336e-05,3.1407221247485756e-06,9.025063779302932e-07,1.4099096501685924e-07,2.80697926522626e-08,1.4254359523461054e-08,2.140609519638099e-09,1.5332920540355472e-10,3.5469539357995284e-11,9.769974640979418e-12,8.025814164249678e-12,3.445837186401557e-13,1.9492790047904822e-14,1.9492790047904822e-14,6.632670549401894e-15,2.4681965377166168e-16,4.783142551017261e-17,2.6239056474216736e-17,3.784670353821337e-18,1.6677066589271644e-18,4.910022813259933e-19,2.0154177423956063e-20,1.4825330233405867e-20,5.297836052980465e-22,5.08893502369237e-22,2.091100861423997e-23,5.054796471507346e-25,3.663200794995848e-25,1.689681903641629e-25,8.96281557675456e-26,2.8330598388101806e-26,7.37383450102231e-27,6.167183076432116e-28,2.3811891280925498e-28,9.727447791028697e-30,1.3836678651015296e-30,7.496296955801481e-31
GRMO,F3,4.889139175415039,124372.05581224135,7752.411169994536,2016.2472612648642,199.49855163801277,148.69588649514608,22.47961635966257,5.692984899785232,0.6871433098360255,0.018997006209487622,0.010590657027774083,0.004054329743069508,0.0007521326763247751,6.7605524485464646e-06,1.2554151090999776e-06,1.2554151090999776e-06,2.4168518338663007e-08,2.4168518338663007e-08,9.443517429925408e-09,2.876811716754857e-09,8.366190012868896e-10,2.1950876082505862e-10,6.549413446453608e-12,4.556699375791054e-12,9.201929562030186e-13,2.545615010987519e-13,8.423544781329505e-14,2.0884142688866043e-14,4.616118346844935e-15,2.1101471481250456e-15,1.2923136391107969e-16,1.3631567514052548e-17,8.871381817416838e-18,4.02398899274529e-18,8.96552007349442e-19,2.0379695541680976e-19,2.673894681045709e-20,8.398654194770326e-22,8.125930508319699e-22,4.775717613217871e-22,1.3890889140875244e-22,2.8138921456928494e-23,7.205809626039381e-24,1.0103273922626812e-24,3.668073597173591e-26,3.668073597173591e-26,6.141449763449112e-27,1.905356003382283e-27,6.3715966034928455e-28,8.154257730284582e-29,1.937073532802003e-29
GRMO,F4,2.9722325801849365,89.92257457738725,15.0351946172594,4.68850119613991,1.2661738009982573,0.5533394867191883,0.4638198326881935,0.2687267363338036,0.11052889730273659,0.06531293467645974,0.04075099155525233,0.015378794934259483,0.004499237719859296,0.0021815641509437536,0.0003506844265626617,0.0003506844265626617,9.89977315575017e-05,5.90108077899154e-05,3.6805617894014814e-05,1.413944368602642e-05,5.1316449903686474e-06,1.5333773605523108e-06,1.1583229185830754e-06,4.51902465811421e-07,2.9496584372894407e-07,4.8189651171591817e-08,4.8189651171591817e-08,2.5239494359447127e-08,1.892828313693917e-08,4.504943116806168e-09,3.4391199190369277e-09,1.4581515152911587e-09,1.0596512552585817e-09,3.445699873002191e-10,1.0270489653955088e-10,9.331844098418301e-11,3.245121025515672e-11,1.8473225747633725e-11,5.258771505061734e-12,2.947772361421036e-12,1.6501292690244329e-12,7.832962741028092e-13,4.18092692136715e-13,1.0844177660035579e-13,2.167354660071468e-14,2.167354660071468e-14,1.426470563763108e-14,8.115617096469666e-15,2.643689987206422e-15,1.1764055865196397e-15,4.990783584724323e-16
GRMO,F4,2.735008478164673,85.75840156442267,11.090700680066636,6.363436270234753,2.9649683115637053,1.8497905810728674,0.46190968184504494,0.23307782065473803,0.06169307951542585,0.06169307951542585,0.025447586511591135,0.018084500340527762,0.009661196651466234,0.0030413775979415006,0.0009786771948170955,0.000398400669379353,0.00028308727891839804,0.0001467455170431009,6.333694083135438e-05,3.571433216364394e-05,2.1558616072607926e-05,5.805066934942685e-06,1.999476384344157e-06,5.602438399735303e-07,2.3086970261183679e-07,1.1798333426155047e-07,9.300793260431812e-08,3.3568926043007625e-08,1.9020700877078274e-08,9.633382130096939e-09,8.802677085622912e-09,2.4499854343082344e-09,6.789998070919318e-10,1.9416149794059463e-10,8.836637111537737e-11,6.270381285294989e-11,3.96013762648394e-11,2.0484827867061456e-11,1.022384382159006e-11,6.098844342488748e-12,7.04331499367768e-13,4.2705248955587734e-13,3.046779285036245e-13,1.279955725339939e-13,1.0741048276456133e-13,3.255996252938961e-14,7.409245462279931e-15,7.409245462279931e-15,3.7904849959750825e-15,1.1072255036908566e-15,7.239283014932852e-16
GRMO,F4,3.1249961853027344,92.00379477627354,16.196053682277768,6.711673877699279,4.122247388599843,2.055837490450348,0.981626235345544,0.5099627139999255,0.18818325724026458,0.11457814587127368,0.038839585465039364,0.020514083036627388,0.009241482095347947,0.004038319230405579,0.004038319230405579,0.002004523351752134,0.0009944311198741846,0.0005585627592898304,0.00034035464259088866,0.00014053936785757488,8.60721746851828e-05,3.4870002302838716e-05,1.8217898608424215e-05,1.0541667500359427e-05,5.9920322517022375e-06,2.2026095258517785e-06,4.608222644730421e-07,3.5760647001612665e-07,6.665462913616196e-08,6.236226509011118e-08,2.7113205375784567e-08,1.247703596979367e-08,7.333035890616796e-09,2.508660866403036e-09,1.507401309113893e-09,8.267510081090217e-10,5.397213463526723e-10,2.609323490510918e-10,1.2634755542856034e-10,4.6256888577380136e-11,4.209795001890917e-11,4.263251461296946e-12,2.5520684766699448e-12,2.5520684766699448e-12,1.122300006635043e-12,5.446450579385865e-13,1.6703118365128461e-13,7.463468998755919e-14,2.0115709681167312e-14,2.0115709681167312e-14,1.0589241876301384e-14
GRMO,F5,3.1093063354492188,339811706.32954,154938.82928761415,31050.121707437596,6217.909472331786,469.12637120637606,102.55220109859613,33.296755519726645,31.688050875746328,29.601886447310168,28.985783606407114,28.959893279871423,28.939876309178,28.935203572015347,28.932740183567983,28.93194795797014,28.931626186916834,28.93140537019751,28.931089483672555,28.930944632325712,28.930944632325712,28.93092139698632,28.93086381893858,28.930851719371702,28.92947190514696,28.928226472065187,28.92800293588504,28.927261443897713,28.926555437026646,28.92643317341953,28.926164995258866,28.926126113514833,28.925539574335115,28.925526406768835,28.9255202424783,28.925429093571854,28.92514102691497,28.924799797720528,28.924796454161772,28.924795205399647,28.92478435312616,28.924781528817345,28.924692311400598,28.924467047378368,28.923962060772052,28.92395050105437,28.923671402693202,28.92365639552011,28.923446739140203,28.923253529311506,28.92316710410177
