Optimizer,objfname,ExecutionTime,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10,Iter11,Iter12,Iter13,Iter14,Iter15,Iter16,Iter17,Iter18,Iter19,Iter20,Iter21,Iter22,Iter23,Iter24,Iter25,Iter26,Iter27,Iter28,Iter29,Iter30,Iter31,Iter32,Iter33,Iter34,Iter35,Iter36,Iter37,Iter38,Iter39,Iter40,Iter41,Iter42,Iter43,Iter44,Iter45,Iter46,Iter47,Iter48,Iter49,Iter50,Iter51,Iter52,Iter53,Iter54,Iter55,Iter56,Iter57,Iter58,Iter59,Iter60,Iter61,Iter62,Iter63,Iter64,Iter65,Iter66,Iter67,Iter68,Iter69,Iter70,Iter71,Iter72,Iter73,Iter74,Iter75,Iter76,Iter77,Iter78,Iter79,Iter80,Iter81,Iter82,Iter83,Iter84,Iter85,Iter86,Iter87,Iter88,Iter89,Iter90,Iter91,Iter92,Iter93,Iter94,Iter95,Iter96,Iter97,Iter98,Iter99,Iter100,Iter101,Iter102,Iter103,Iter104,Iter105,Iter106,Iter107,Iter108,Iter109,Iter110,Iter111,Iter112,Iter113,Iter114,Iter115,Iter116,Iter117,Iter118,Iter119,Iter120,Iter121,Iter122,Iter123,Iter124,Iter125,Iter126,Iter127,Iter128,Iter129,Iter130,Iter131,Iter132,Iter133,Iter134,Iter135,Iter136,Iter137,Iter138,Iter139,Iter140,Iter141,Iter142,Iter143,Iter144,Iter145,Iter146,Iter147,Iter148,Iter149,Iter150,Iter151,Iter152,Iter153,Iter154,Iter155,Iter156,Iter157,Iter158,Iter159,Iter160,Iter161,Iter162,Iter163,Iter164,Iter165,Iter166,Iter167,Iter168,Iter169,Iter170,Iter171,Iter172,Iter173,Iter174,Iter175,Iter176,Iter177,Iter178,Iter179,Iter180,Iter181,Iter182,Iter183,Iter184,Iter185,Iter186,Iter187,Iter188,Iter189,Iter190,Iter191,Iter192,Iter193,Iter194,Iter195,Iter196,Iter197,Iter198,Iter199,Iter200
GWO,F1,6.15,68713.01,49811.85,33609.31,25670.37,19694.54,17819.02,13553.78,12514.52,10016.75,6302.56,5052.64,3479.29,2739.27,2000.58,1716.66,1131.08,907.09,549.28,527.42,439.08,322.38,265.77,220.52,153.89,127.31,100.53,55.79,40.64,33.19,27.14,21.44,13.32,12.01,8.94,4.64,3.4,2.38,2.11,1.3,1.01,0.77,0.55,0.4,0.36,0.25,0.18,0.14,0.11,0.08,0.06,0.04,0.03,0.02,0.02,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GWO,F2,4.86,111642427429295.23,98280888.67,6724077.22,526.89,526.89,103.26,88.82,82.2,51.83,46.34,35.97,33.07,27.1,25.39,20.06,15.27,13.39,11.41,9.8,8.74,6.56,5.52,4.63,3.3,2.67,2.2,1.77,1.49,1.19,1.02,0.81,0.65,0.57,0.52,0.4,0.33,0.27,0.21,0.19,0.16,0.13,0.11,0.09,0.08,0.06,0.05,0.05,0.04,0.03,0.03,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GWO,F3,7.02,119464.56,104520.01,86824.85,74156.83,69282.36,64369.13,63634.83,59906.95,59906.95,53707.1,51757.46,44251.83,42186.0,37867.83,35804.69,35804.69,33237.01,33237.01,31382.28,29164.61,24349.01,23890.37,23890.37,23890.37,21833.91,18812.1,16637.08,10319.59,10196.15,10196.15,9904.73,8439.63,8439.63,7836.64,7668.31,7346.87,7073.83,7073.83,7073.83,6863.48,5979.78,5979.78,3803.57,3800.24,3532.03,3395.05,3196.99,3196.99,3017.69,2983.78,2921.74,2921.74,2843.65,2572.76,2198.22,2132.15,1910.06,1814.65,1811.82,1606.92,1570.33,1560.16,1560.16,1539.64,1491.15,1452.76,1158.76,1091.01,1033.03,994.94,971.0,953.81,934.36,934.36,874.74,836.1,798.96,657.93,652.3,652.3,546.02,546.02,523.79,520.32,514.22,512.65,498.44,483.29,438.42,431.54,421.78,411.41,367.3,364.91,346.37,342.11,309.35,303.17,299.96,296.08,273.42,273.4,267.28,262.16,262.16,230.11,225.66,223.84,198.71,196.74,195.01,183.25,147.31,140.23,132.09,124.19,116.73,111.79,109.08,108.64,103.76,92.65,84.49,83.31,83.28,82.53,82.21,79.95,74.93,72.99,71.62,71.36,62.64,61.08,58.88,56.22,54.81,52.11,51.35,51.35,48.69,44.88,42.37,39.3,38.84,36.35,34.7,33.48,31.29,30.62,30.48,29.51,28.04,25.23,25.03,25.01,24.45,24.34,23.3,22.84,21.63,20.27,19.24,18.85,18.65,18.0,17.1,16.81,16.36,16.27,15.9,15.42,15.41,15.04,14.43,14.0,13.87,13.76,13.44,13.2,12.91,12.37,12.1,11.79,11.59,11.52,11.28,11.16,11.01,10.91,10.78,10.57,10.52,10.43,10.34,10.29,10.24,10.2,10.17,10.14
GWO,F4,4.88,90.28,88.36,86.77,83.56,77.99,71.88,66.02,64.2,54.6,53.86,51.58,51.02,44.34,40.36,39.87,39.33,37.18,35.85,35.85,34.23,31.61,31.61,28.98,27.96,27.01,26.0,22.18,20.95,17.22,14.5,14.09,13.42,13.01,10.2,9.48,9.1,8.35,7.94,7.16,6.41,5.83,4.71,4.22,4.21,3.59,3.13,3.02,2.68,2.38,2.27,2.15,2.1,1.99,1.75,1.63,1.56,1.46,1.44,1.26,1.26,1.13,1.03,1.01,0.91,0.86,0.82,0.73,0.7,0.63,0.6,0.58,0.54,0.54,0.53,0.5,0.49,0.43,0.39,0.38,0.36,0.33,0.32,0.31,0.31,0.31,0.28,0.27,0.27,0.27,0.24,0.24,0.24,0.22,0.21,0.2,0.19,0.18,0.17,0.16,0.15,0.14,0.14,0.13,0.13,0.13,0.13,0.12,0.12,0.11,0.11,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
GWO,F5,5.62,251980403.5,166255319.06,112303113.61,55485856.28,39086566.44,26722887.41,22814122.7,13079179.1,7176799.44,7176799.44,4758376.12,3247693.3,2054790.93,1403597.76,930499.33,707951.18,401465.84,253306.69,189578.8,117724.11,81731.87,60421.85,30046.02,19488.21,15911.79,8073.81,6682.7,4083.14,3715.19,3250.61,2153.05,1926.59,1540.96,1532.93,956.11,865.41,801.06,582.53,561.93,423.19,361.33,266.68,241.47,187.49,136.33,120.3,88.33,64.66,53.65,47.81,42.69,38.77,35.9,33.61,31.92,31.07,30.55,29.91,29.65,29.29,29.13,28.97,28.8,28.73,28.65,28.61,28.55,28.53,28.49,28.47,28.46,28.36,28.35,28.33,28.27,28.2,28.16,28.12,28.1,28.08,28.05,28.04,28.03,28.0,28.0,28.0,28.0,27.99,27.98,27.98,27.95,27.92,27.88,27.87,27.87,27.87,27.87,27.85,27.85,27.85,27.85,27.84,27.84,27.81,27.8,27.79,27.79,27.79,27.77,27.77,27.77,27.77,27.75,27.75,27.75,27.75,27.74,27.74,27.73,27.73,27.73,27.73,27.72,27.72,27.72,27.72,27.72,27.72,27.72,27.72,27.72,27.72,27.72,27.72,27.72,27.72,27.72,27.72,27.72,27.71,27.71,27.71,27.71,27.71,27.71,27.71,27.7,27.7,27.69,27.69,27.69,27.69,27.69,27.69,27.69,27.69,27.69,27.67,27.67,27.67,27.67,27.67,27.67,27.67,27.67,27.67,27.67,27.67,27.67,27.67,27.66,27.66,27.66,27.66,27.66,27.66,27.65,27.65,27.65,27.65,27.64,27.64,27.63,27.63,27.63,27.63,27.63,27.62,27.62,27.62,27.62,27.62,27.61,27.61,27.61,27.61,27.61,27.6,27.6,27.6
GWO,F6,5.1,70056.53,59297.24,40715.1,33014.14,23960.55,21820.5,15097.09,13113.19,12371.85,8915.99,5196.42,4692.07,3949.73,2571.64,2086.03,1436.74,1206.27,929.71,657.22,458.46,326.45,232.17,168.05,142.35,98.64,77.07,59.35,48.24,34.95,28.45,22.15,16.72,13.72,10.53,9.47,7.05,6.08,5.03,4.59,3.79,3.6,3.48,3.28,3.05,2.88,2.79,2.68,2.66,2.54,2.47,2.44,2.43,2.43,2.41,2.38,2.34,2.34,2.31,2.31,2.3,2.16,2.15,2.14,2.13,2.12,2.11,2.1,2.09,2.06,2.05,2.03,2.02,2.02,2.02,2.01,2.0,2.0,2.0,1.97,1.92,1.89,1.89,1.89,1.87,1.87,1.86,1.86,1.84,1.84,1.83,1.83,1.83,1.83,1.83,1.82,1.82,1.8,1.8,1.8,1.79,1.78,1.78,1.78,1.78,1.78,1.78,1.76,1.76,1.74,1.73,1.72,1.69,1.69,1.68,1.67,1.67,1.66,1.64,1.64,1.63,1.63,1.62,1.61,1.61,1.61,1.61,1.61,1.6,1.6,1.6,1.59,1.59,1.58,1.58,1.58,1.58,1.57,1.56,1.56,1.56,1.55,1.54,1.54,1.54,1.53,1.53,1.52,1.52,1.51,1.51,1.51,1.5,1.5,1.5,1.5,1.49,1.49,1.49,1.49,1.49,1.48,1.48,1.48,1.47,1.47,1.47,1.47,1.46,1.46,1.46,1.46,1.45,1.45,1.45,1.44,1.44,1.43,1.43,1.43,1.42,1.42,1.42,1.41,1.41,1.4,1.4,1.4,1.39,1.39,1.38,1.38,1.38,1.37,1.37,1.37,1.37,1.37,1.36,1.36,1.36
GWO,F7,4.93,136.6,77.73,46.0,35.03,21.92,14.65,11.37,7.28,3.75,2.98,1.56,1.03,0.35,0.35,0.35,0.35,0.31,0.21,0.19,0.19,0.15,0.14,0.12,0.12,0.11,0.08,0.07,0.07,0.07,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
GWO,F8,5.68,-2529.16,-2701.54,-2857.44,-2857.44,-2857.44,-2857.44,-2857.44,-2857.44,-2857.44,-2857.44,-2857.44,-2857.44,-2857.44,-2857.44,-2857.44,-2857.44,-2857.44,-2859.12,-2859.12,-2859.12,-2859.12,-2859.12,-2866.69,-2866.69,-2866.69,-2866.69,-2866.69,-2866.69,-2866.69,-2866.69,-2866.69,-2866.69,-2866.69,-2866.69,-2866.69,-2916.63,-2916.63,-2916.63,-2916.63,-2916.63,-2916.63,-2916.63,-2934.11,-2934.11,-2994.56,-3077.25,-3077.25,-3077.25,-3198.85,-3198.85,-3198.85,-3198.85,-3198.85,-3198.85,-3198.85,-3198.85,-3198.85,-3198.85,-3198.85,-3198.85,-3198.85,-3198.85,-3198.85,-3198.85,-3198.85,-3198.85,-3198.85,-3198.85,-3198.85,-3198.85,-3198.85,-3198.85,-3198.85,-3198.85,-3198.85,-3198.85,-3279.83,-3446.52,-3446.52,-3446.52,-3446.52,-3446.52,-3446.52,-3446.52,-3446.52,-3446.52,-3446.52,-3446.52,-3446.52,-3446.52,-3446.52,-3446.52,-3446.52,-3446.52,-3446.52,-3446.52,-3446.52,-3446.52,-3446.52,-3503.91,-3503.91,-3503.91,-3519.02,-3519.02,-3519.02,-3519.02,-3519.02,-3519.02,-3519.02,-3519.02,-3519.02,-3519.02,-3584.0,-3584.0,-3602.34,-3602.34,-3602.34,-3602.34,-3705.56,-3705.56,-3705.56,-3738.3,-3911.95,-3911.95,-3995.02,-3995.02,-3995.02,-3995.02,-3995.02,-3995.02,-3995.02,-3995.02,-4031.8,-4052.43,-4058.1,-4058.1,-4206.27,-4206.27,-4378.84,-4378.84,-4390.81,-4390.81,-4644.26,-4644.26,-4644.56,-4673.47,-4737.49,-4737.49,-4737.49,-4737.49,-4737.49,-4737.49,-4756.14,-4769.95,-4824.54,-4910.12,-4910.12,-4910.12,-4926.79,-4937.66,-4937.66,-4976.03,-5068.26,-5083.09,-5083.09,-5083.09,-5136.67,-5136.67,-5231.25,-5231.25,-5231.25,-5231.25,-5243.36,-5257.77,-5257.77,-5257.77,-5258.48,-5258.48,-5270.39,-5366.97,-5407.31,-5481.65,-5632.33,-5644.49,-5700.63,-5804.32,-5894.91,-5912.0,-5951.45,-6032.24,-6096.99,-6127.44,-6207.96,-6216.89,-6239.17,-6256.04,-6278.78,-6291.48,-6301.26,-6311.9
GWO,F9,5.09,441.16,385.45,364.93,349.53,331.07,326.21,299.56,287.79,287.79,281.06,281.06,281.06,280.97,265.99,265.99,265.99,264.81,247.87,247.65,242.4,241.37,237.69,234.36,231.69,231.69,227.45,227.45,224.59,207.61,194.26,183.45,175.85,175.85,172.56,172.56,158.48,158.48,154.03,154.03,140.07,140.07,140.07,134.15,132.43,132.43,132.43,127.52,127.52,127.52,127.52,110.34,110.34,110.34,110.34,110.34,109.38,109.38,93.47,93.47,93.47,93.47,93.47,93.47,93.47,93.47,93.47,93.47,89.86,89.86,89.86,82.22,82.22,82.03,82.03,82.03,82.03,82.03,82.03,82.03,82.03,82.03,82.03,82.03,82.03,82.03,82.03,81.18,81.18,81.18,78.27,78.27,78.27,78.27,78.27,78.27,78.27,76.83,76.82,75.0,75.0,75.0,72.17,72.17,72.17,72.17,72.17,72.17,69.78,69.78,69.33,64.61,64.05,64.05,63.55,63.26,62.64,62.64,60.92,57.06,55.85,55.85,55.85,55.85,55.68,55.68,55.68,55.68,55.3,54.64,54.44,54.44,53.4,52.81,52.81,51.81,51.33,51.33,51.33,47.86,45.73,45.73,39.92,39.92,39.92,39.92,39.92,38.03,38.03,38.03,38.03,38.03,38.03,38.03,38.03,38.0,37.9,37.9,37.9,37.62,37.62,37.29,36.61,35.43,35.15,35.15,34.89,34.4,34.29,32.79,32.72,32.72,32.66,32.66,31.59,31.42,31.25,30.83,30.62,30.62,30.62,30.23,30.03,29.78,29.17,29.05,28.22,28.22,28.03,27.78,27.52,27.36,27.28,27.02,26.7,26.52,26.32,26.19,26.04,25.95,25.9
GWO,F10,6.22,20.37,19.87,19.04,18.92,17.87,17.57,16.48,15.59,14.46,12.98,12.23,11.14,10.08,9.31,8.69,7.92,7.61,6.81,5.98,5.65,5.0,4.83,4.55,4.09,3.67,3.39,2.96,2.65,2.38,2.14,1.65,1.5,1.17,0.94,0.83,0.69,0.51,0.46,0.35,0.29,0.2,0.17,0.14,0.12,0.1,0.08,0.07,0.06,0.05,0.04,0.03,0.03,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
