Optimizer,objfname,ExecutionTime,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10,Iter11,Iter12,Iter13,Iter14,Iter15,Iter16,Iter17,Iter18,Iter19,Iter20,Iter21,Iter22,Iter23,Iter24,Iter25,Iter26,Iter27,Iter28,Iter29,Iter30,Iter31,Iter32,Iter33,Iter34,Iter35,Iter36,Iter37,Iter38,Iter39,Iter40,Iter41,Iter42,Iter43,Iter44,Iter45,Iter46,Iter47,Iter48,Iter49,Iter50
GRMO,F1,4.87,69873.94,985.71,1.93,0.16,0.16,0.05,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GRMO,F5,3.42,239873601.33,130698.8,182.83,39.01,31.58,29.94,29.0,29.0,28.97,28.96,28.96,28.96,28.96,28.96,28.96,28.96,28.96,28.96,28.96,28.96,28.96,28.96,28.96,28.96,28.96,28.96,28.96,28.96,28.96,28.96,28.96,28.96,28.96,28.96,28.96,28.96,28.96,28.96,28.96,28.96,28.96,28.96,28.96,28.96,28.96,28.96,28.96,28.96,28.96,28.96
GRMO,F6,3.35,63047.3,189.69,10.4,8.97,7.02,6.27,5.74,5.74,5.71,5.65,5.59,5.59,5.55,5.53,5.53,5.53,5.5,5.5,5.5,5.48,5.47,5.46,5.46,5.45,5.44,5.44,5.44,5.43,5.43,5.43,5.43,5.43,5.42,5.42,5.42,5.42,5.42,5.42,5.42,5.41,5.41,5.41,5.41,5.41,5.4,5.4,5.4,5.4,5.39,5.39
