Optimizer,objfname,ExecutionTime,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10,Iter11,Iter12,Iter13,Iter14,Iter15,Iter16,Iter17,Iter18,Iter19,Iter20,Iter21,Iter22,Iter23,Iter24,Iter25,Iter26,Iter27,Iter28,Iter29,Iter30,Iter31,Iter32,Iter33,Iter34,Iter35,Iter36,Iter37,Iter38,Iter39,Iter40,Iter41,Iter42,Iter43,Iter44,Iter45,Iter46,Iter47,Iter48,Iter49,Iter50,Iter51,Iter52,Iter53,Iter54,Iter55,Iter56,Iter57,Iter58,Iter59,Iter60,Iter61,Iter62,Iter63,Iter64,Iter65,Iter66,Iter67,Iter68,Iter69,Iter70,Iter71,Iter72,Iter73,Iter74,Iter75,Iter76,Iter77,Iter78,Iter79,Iter80,Iter81,Iter82,Iter83,Iter84,Iter85,Iter86,Iter87,Iter88,Iter89,Iter90,Iter91,Iter92,Iter93,Iter94,Iter95,Iter96,Iter97,Iter98,Iter99,Iter100,Iter101,Iter102,Iter103,Iter104,Iter105,Iter106,Iter107,Iter108,Iter109,Iter110,Iter111,Iter112,Iter113,Iter114,Iter115,Iter116,Iter117,Iter118,Iter119,Iter120,Iter121,Iter122,Iter123,Iter124,Iter125,Iter126,Iter127,Iter128,Iter129,Iter130,Iter131,Iter132,Iter133,Iter134,Iter135,Iter136,Iter137,Iter138,Iter139,Iter140,Iter141,Iter142,Iter143,Iter144,Iter145,Iter146,Iter147,Iter148,Iter149,Iter150,Iter151,Iter152,Iter153,Iter154,Iter155,Iter156,Iter157,Iter158,Iter159,Iter160,Iter161,Iter162,Iter163,Iter164,Iter165,Iter166,Iter167,Iter168,Iter169,Iter170,Iter171,Iter172,Iter173,Iter174,Iter175,Iter176,Iter177,Iter178,Iter179,Iter180,Iter181,Iter182,Iter183,Iter184,Iter185,Iter186,Iter187,Iter188,Iter189,Iter190,Iter191,Iter192,Iter193,Iter194,Iter195,Iter196,Iter197,Iter198,Iter199,Iter200
GWO,F1,7.19,72702.37,54303.91,37427.16,29605.88,25542.0,15914.7,10675.81,8931.53,7290.13,5941.69,4771.22,4152.62,2957.23,2187.66,1901.67,1480.16,1168.55,834.68,677.28,541.68,361.79,283.18,211.19,141.96,112.78,74.86,48.21,36.64,26.49,20.4,13.03,8.18,5.86,4.38,3.22,2.26,1.59,1.09,0.74,0.43,0.33,0.21,0.16,0.12,0.11,0.08,0.06,0.05,0.03,0.02,0.02,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GWO,F2,5.52,1847056227987.77,5223857302.78,177645966.1,1028270.86,215398.74,295.18,170.01,73.15,58.17,50.78,43.6,38.25,33.56,27.34,24.23,18.04,16.94,14.8,13.02,9.47,8.58,7.1,5.65,4.57,3.68,3.04,2.49,2.07,1.73,1.42,1.2,1.02,0.78,0.71,0.6,0.48,0.39,0.3,0.24,0.19,0.14,0.12,0.09,0.08,0.06,0.05,0.04,0.03,0.03,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GWO,F3,6.51,160004.28,97815.49,86319.69,78488.45,68406.13,58174.33,51766.21,48530.82,41822.06,41822.06,41822.06,36560.66,36560.66,36560.66,36560.66,36560.66,36514.54,36511.52,36511.52,36511.52,34406.24,34406.24,30978.27,30249.02,29063.19,24468.54,22833.36,22833.36,22833.36,21880.67,21369.59,21369.59,20122.76,20122.76,20103.67,17472.5,17142.7,16826.73,16826.73,16144.04,16144.04,16005.51,14529.68,14379.11,14379.11,13306.44,12184.21,12184.21,11375.83,10484.55,9961.1,9466.66,9466.66,8150.75,7866.3,7866.3,7555.93,7270.16,7248.8,6708.18,6708.18,6343.54,6171.52,5866.53,5819.4,5657.82,5106.38,4710.27,4574.19,4399.4,4399.4,4399.4,4015.78,3515.46,2929.64,2823.93,2550.36,2550.36,2411.95,2378.62,1906.63,1906.63,1794.53,1657.55,1567.48,1566.4,1338.45,1163.05,1114.65,1052.32,1045.37,999.27,927.94,817.15,799.04,797.16,790.99,766.44,759.62,745.98,634.37,634.37,627.55,618.56,605.9,562.58,562.58,525.06,502.39,479.27,476.46,411.54,404.22,379.79,357.0,348.62,315.22,311.69,287.39,283.42,274.12,273.64,269.8,238.27,237.9,237.09,233.19,222.22,213.38,191.98,182.75,182.52,173.31,166.17,163.38,159.23,158.03,146.16,146.16,145.6,141.13,138.3,136.52,132.0,125.99,125.32,115.99,110.9,99.37,99.37,98.63,96.21,92.24,90.74,89.16,82.6,81.02,80.71,79.5,74.21,72.25,70.98,67.98,67.53,66.23,63.98,63.56,61.51,59.59,57.52,55.27,54.59,53.67,53.05,51.71,51.34,49.49,48.03,47.96,47.34,46.26,44.9,43.57,43.51,43.21,42.31,41.64,41.27,40.44,40.29,39.99,39.51,39.12,38.75,38.38,38.08,37.97,37.74,37.59,37.52
GWO,F4,5.43,85.68,85.68,81.93,79.07,74.96,74.18,70.8,63.76,59.27,57.21,51.03,51.03,51.03,48.7,48.7,47.72,44.93,40.94,33.43,31.22,27.98,24.08,23.02,20.95,20.95,19.74,17.41,16.88,14.41,13.99,13.06,12.53,12.25,11.49,11.35,10.81,10.21,8.33,7.27,6.9,6.85,6.32,5.95,5.91,5.5,5.37,5.08,4.46,3.87,3.66,3.48,3.18,3.11,2.78,2.71,2.47,2.39,2.28,2.09,2.05,2.02,1.91,1.76,1.7,1.52,1.4,1.28,1.14,1.04,1.0,0.89,0.89,0.87,0.83,0.73,0.73,0.73,0.7,0.68,0.67,0.62,0.62,0.6,0.57,0.56,0.51,0.5,0.45,0.43,0.42,0.42,0.4,0.39,0.39,0.38,0.37,0.35,0.34,0.33,0.3,0.3,0.29,0.28,0.27,0.26,0.26,0.25,0.24,0.23,0.22,0.21,0.2,0.2,0.19,0.18,0.17,0.16,0.15,0.15,0.15,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05
GWO,F5,5.5,250852856.94,128566563.21,111143629.43,54058589.86,41472607.04,33658117.24,20853383.07,10639792.68,9037956.64,5497746.96,3188302.22,2637079.85,1436795.12,850706.93,593992.19,383200.45,281127.47,213522.17,104524.87,64685.26,64502.61,43817.58,26850.11,19263.2,16723.41,10952.22,8584.66,4857.83,3266.48,2785.4,1814.4,1281.91,964.92,520.23,505.8,397.12,302.01,245.63,223.02,217.52,202.34,164.67,161.96,156.57,152.17,150.05,147.58,141.46,140.27,125.46,125.13,124.66,124.29,113.37,105.2,88.77,75.12,73.41,66.07,59.8,54.76,50.97,45.03,40.66,38.67,36.18,34.91,33.09,31.79,31.03,30.08,29.94,29.31,29.22,28.68,28.62,28.49,28.41,28.32,28.29,28.26,28.22,28.18,28.15,28.14,28.1,28.1,28.09,28.08,28.08,28.08,28.07,28.07,28.07,28.07,28.06,28.06,28.06,28.06,28.05,28.05,28.05,28.04,28.03,28.03,28.03,28.03,28.03,28.03,28.03,28.03,28.03,28.03,28.03,28.03,28.03,28.01,28.01,28.01,28.01,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,27.99,27.99,27.99,27.99,27.99,27.99,27.99,27.99,27.98,27.98,27.98,27.98,27.98,27.98,27.97,27.97,27.97,27.96,27.96,27.96,27.96,27.96,27.96,27.95,27.95,27.95,27.95,27.95,27.94,27.94,27.94,27.93,27.93,27.93,27.93,27.93,27.92,27.92,27.92,27.92,27.92,27.91,27.91,27.91,27.91,27.91,27.91,27.91,27.9,27.9,27.9,27.9,27.9,27.9,27.89,27.89
GWO,F6,5.4,71034.59,55165.88,40495.8,33001.62,28863.21,19849.83,16492.22,13446.0,8992.32,6138.5,4684.11,4139.88,2315.52,1828.3,1644.45,1060.95,847.57,568.23,479.13,372.4,245.73,207.49,162.14,124.15,91.05,66.85,52.35,39.92,32.2,21.83,16.59,11.89,10.54,9.23,7.56,6.07,5.21,4.42,3.99,3.7,3.55,3.24,2.89,2.72,2.68,2.57,2.47,2.45,2.34,2.3,2.3,2.28,2.27,2.22,2.18,2.17,2.15,2.15,2.15,2.08,2.07,2.01,1.99,1.97,1.95,1.91,1.87,1.86,1.84,1.83,1.83,1.81,1.81,1.8,1.76,1.74,1.7,1.69,1.69,1.69,1.67,1.67,1.66,1.65,1.65,1.65,1.65,1.62,1.59,1.59,1.58,1.57,1.57,1.57,1.53,1.52,1.52,1.51,1.51,1.5,1.49,1.49,1.48,1.46,1.46,1.46,1.44,1.43,1.43,1.42,1.41,1.4,1.4,1.4,1.4,1.4,1.4,1.39,1.39,1.38,1.37,1.37,1.37,1.37,1.35,1.35,1.35,1.35,1.34,1.33,1.33,1.33,1.33,1.32,1.31,1.31,1.31,1.31,1.3,1.29,1.29,1.29,1.28,1.27,1.27,1.26,1.25,1.25,1.24,1.23,1.22,1.22,1.21,1.2,1.2,1.2,1.2,1.19,1.19,1.19,1.19,1.18,1.18,1.18,1.17,1.17,1.17,1.16,1.16,1.15,1.15,1.15,1.14,1.14,1.13,1.13,1.13,1.12,1.12,1.12,1.12,1.11,1.11,1.11,1.11,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.09,1.09,1.09,1.09,1.09,1.09,1.09,1.09
GWO,F7,5.28,119.47,90.52,50.93,35.41,27.24,16.32,8.85,6.57,4.21,2.68,2.16,1.49,0.96,0.79,0.68,0.5,0.35,0.26,0.24,0.22,0.18,0.17,0.13,0.13,0.13,0.11,0.11,0.09,0.07,0.07,0.06,0.04,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GWO,F8,5.26,-1901.25,-1973.46,-2682.53,-2682.53,-2682.53,-3151.51,-3151.51,-3151.51,-3151.51,-3151.51,-3151.51,-3151.51,-3184.45,-3184.45,-3184.45,-3184.45,-3184.45,-3184.45,-3184.45,-3184.45,-3184.45,-3184.45,-3184.45,-3184.45,-3184.45,-3184.45,-3184.45,-3184.45,-3184.45,-3184.45,-3184.45,-3184.45,-3184.45,-3184.45,-3184.45,-3184.45,-3184.45,-3184.45,-3184.45,-3184.45,-3184.45,-3184.45,-3184.45,-3184.45,-3184.45,-3184.45,-3184.45,-3184.45,-3184.45,-3184.45,-3184.45,-3184.45,-3184.45,-3184.45,-3184.45,-3269.59,-3269.59,-3269.59,-3269.59,-3269.59,-3269.59,-3269.59,-3269.59,-3269.59,-3269.59,-3269.59,-3269.59,-3269.59,-3269.59,-3269.59,-3269.59,-3269.59,-3269.59,-3269.59,-3382.98,-3382.98,-3382.98,-3382.98,-3382.98,-3382.98,-3382.98,-3382.98,-3382.98,-3382.98,-3582.21,-3582.21,-3582.21,-3900.64,-3900.64,-3900.64,-3900.64,-3900.64,-3900.64,-3900.64,-3900.64,-3900.64,-3900.64,-3900.64,-3900.64,-3900.64,-3900.64,-3900.64,-3900.64,-3900.64,-3900.64,-3900.64,-3900.64,-3900.64,-3900.64,-3900.64,-3900.64,-3900.64,-3900.64,-3900.64,-3900.64,-3900.64,-3988.23,-3988.23,-3988.23,-3988.23,-3988.23,-3988.23,-3988.23,-3988.23,-3988.23,-3988.23,-3988.23,-3988.23,-4124.25,-4124.25,-4126.04,-4126.04,-4126.04,-4126.04,-4126.04,-4126.04,-4126.04,-4190.83,-4190.83,-4190.83,-4190.83,-4190.83,-4190.83,-4190.83,-4190.83,-4425.37,-4481.91,-4481.91,-4482.5,-4614.64,-4657.7,-4712.12,-4930.43,-5036.93,-5036.93,-5141.72,-5141.72,-5247.18,-5299.55,-5299.55,-5330.96,-5600.64,-5820.54,-5820.54,-5839.73,-5931.59,-5931.59,-5931.59,-5946.01,-6065.13,-6187.33,-6216.55,-6287.08,-6335.24,-6410.93,-6424.9,-6428.46,-6428.46,-6441.44,-6523.2,-6523.2,-6615.09,-6651.59,-6672.44,-6672.44,-6717.93,-6723.41,-6736.48,-6770.77,-6800.5,-6836.74,-6858.3,-6872.59,-6894.54,-6911.25,-6914.94,-6931.37,-6937.72,-6944.91,-6949.54
GWO,F9,6.67,458.18,383.63,348.2,309.48,302.41,302.41,302.41,290.4,290.4,287.29,287.29,285.72,285.54,281.95,266.69,263.83,262.84,262.84,247.85,247.85,245.15,236.27,236.18,233.55,214.51,214.51,214.51,194.94,180.62,180.62,180.62,180.62,180.62,175.71,175.71,168.6,168.6,168.6,168.6,168.6,168.6,166.41,166.3,148.0,148.0,147.66,147.66,145.9,142.17,141.28,139.48,139.48,137.31,137.31,136.38,131.74,131.74,131.74,131.74,131.74,131.74,128.24,128.24,128.24,128.12,127.67,126.41,124.63,124.25,124.25,122.72,122.72,122.34,121.12,115.32,115.28,114.44,114.23,114.23,114.23,113.86,113.8,113.8,113.8,113.8,113.8,113.8,113.8,113.8,113.8,113.8,112.59,112.59,111.84,111.84,103.11,103.11,103.11,103.11,103.11,103.11,103.11,103.11,103.11,103.11,103.11,101.63,98.05,91.1,91.1,86.42,86.42,86.42,86.42,86.42,86.42,75.08,74.28,74.16,74.16,73.41,72.85,71.65,71.65,71.65,71.26,69.29,69.29,69.29,69.29,69.29,69.29,69.29,68.94,68.94,65.55,65.55,65.34,65.34,63.54,63.54,63.54,63.54,63.28,62.37,61.8,61.8,61.31,57.45,57.45,57.45,57.45,57.45,54.01,54.01,54.01,54.01,53.99,52.7,52.7,52.7,52.7,52.69,52.44,49.63,46.69,46.69,46.69,46.69,46.69,46.69,46.69,46.69,46.43,46.15,45.74,45.69,45.32,43.85,43.37,42.1,40.52,40.52,40.51,40.44,40.31,40.25,40.0,39.96,39.23,39.11,39.06,38.4,38.39,38.19,37.92,37.77,37.62,37.55,37.45
GWO,F10,6.37,20.55,20.31,19.6,18.92,18.75,18.04,17.64,16.26,14.62,13.73,12.73,11.45,10.33,9.88,8.56,7.66,6.86,6.35,5.82,5.29,4.93,4.54,3.99,3.51,3.28,3.11,2.84,2.41,2.2,1.76,1.27,1.02,0.79,0.65,0.42,0.36,0.29,0.23,0.2,0.16,0.11,0.1,0.08,0.07,0.06,0.05,0.04,0.03,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
