Optimizer,objfname,ExecutionTime,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10,Iter11,Iter12,Iter13,Iter14,Iter15,Iter16,Iter17,Iter18,Iter19,Iter20,Iter21,Iter22,Iter23,Iter24,Iter25,Iter26,Iter27,Iter28,Iter29,Iter30,Iter31,Iter32,Iter33,Iter34,Iter35,Iter36,Iter37,Iter38,Iter39,Iter40,Iter41,Iter42,Iter43,Iter44,Iter45,Iter46,Iter47,Iter48,Iter49,Iter50
BBO,F1,0.19,73091.46,73091.46,73091.46,73091.46,69022.39,69022.39,68214.82,42591.46,38721.86,31507.65,31507.65,30627.99,30627.99,30627.99,30627.99,30627.99,30627.99,30627.99,15169.54,15169.54,15169.54,15169.54,15169.54,13551.61,13551.61,438.71,438.71,350.55,121.0,121.0,47.83,47.83,38.59,29.13,26.71,5.19,5.19,1.86,1.3,0.64,0.64,0.64,0.64,0.55,0.55,0.51,0.49,0.47,0.46,0.46
BBO,F2,0.39,37206703038.41,20559862067.52,3900974135.21,3900974135.21,3802867701.05,3802867701.05,2836799314.85,2836799314.85,2836799314.85,2836799314.85,2836799314.85,2836796290.26,2836796290.26,2836796290.26,2836796290.26,2836796290.26,2836796290.26,2836796290.26,2836796290.26,1647898887.17,1647895147.79,42116577.13,42116574.85,42116566.51,42116566.51,42116566.51,42116558.42,42116556.69,42116554.34,23.69,13.68,4.89,4.89,4.42,4.11,4.11,3.54,3.04,3.04,2.07,1.87,1.68,1.57,1.16,1.14,1.03,0.99,0.8,0.79,0.78
BBO,F3,1.68,134806.72,134806.72,134806.72,134806.72,134806.72,134806.72,134806.72,134806.72,134806.72,134806.72,134806.72,134806.72,134806.72,134806.72,134806.72,134806.72,100623.81,100623.81,100623.81,100623.81,100623.81,100623.81,100623.81,100623.81,100623.81,100623.81,100623.81,100623.81,100623.81,97173.55,58532.25,52310.09,52310.09,50541.33,49911.04,46557.67,46557.67,45496.74,45359.24,45359.24,45323.64,45129.27,45047.56,37877.63,37313.79,36999.85,36999.2,36309.02,36292.44,35817.51
BBO,F4,0.22,86.91,86.91,86.91,86.09,72.53,72.53,63.85,63.85,63.07,63.07,60.97,45.07,21.82,21.82,21.82,19.92,19.92,19.92,19.92,19.92,18.33,18.33,18.33,16.66,16.66,15.85,15.85,10.87,3.07,3.07,3.07,3.07,3.07,2.57,2.57,2.45,1.66,1.66,1.66,1.58,1.55,1.55,1.55,1.41,0.63,0.62,0.62,0.62,0.62,0.61
BBO,F5,0.33,265611815.8,265611815.8,224464409.2,224464409.2,224464409.2,158311994.71,158311994.71,99791254.37,99791254.37,99791254.37,99791254.37,8535590.83,8535590.83,8535590.83,2370368.67,2370368.67,2370368.67,2360648.08,1718143.02,1718143.02,1714229.97,718031.97,691897.74,691897.74,141600.93,141600.93,141300.95,4394.13,337.52,337.52,337.52,191.67,191.67,191.67,141.55,141.04,141.04,126.59,126.59,126.59,124.99,124.51,124.51,121.61,76.01,32.16,27.64,27.64,27.06,27.04
BBO,F6,0.33,68167.4,63491.33,63491.33,55836.13,55268.92,44081.42,33148.23,25859.76,21511.95,21511.95,21203.61,21203.61,21203.61,21203.61,21174.16,21174.16,21174.16,21174.16,16152.31,16152.31,16152.31,14932.76,6072.06,6072.06,1707.1,1410.93,843.51,190.61,190.61,190.61,161.72,155.82,155.82,155.82,148.97,147.48,145.91,145.91,130.62,98.84,61.27,52.92,40.08,31.45,27.91,26.3,26.3,26.3,26.28,25.89
BBO,F7,0.57,123.93,116.97,116.97,116.97,94.6,77.08,47.54,27.82,27.82,22.81,13.52,13.52,1.85,1.82,1.82,1.81,1.81,1.81,1.71,1.71,1.71,1.71,1.7,1.7,1.7,1.41,1.41,0.28,0.28,0.12,0.12,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
BBO,F8,0.27,-1878.75,-5417.67,-5516.37,-5516.37,-5556.01,-5556.01,-5556.01,-6464.54,-7518.66,-8577.09,-8577.09,-8577.09,-8577.09,-9196.44,-9196.44,-9196.44,-9196.44,-9275.18,-9275.18,-9302.48,-9714.14,-9714.14,-9813.45,-9813.45,-9813.45,-9903.65,-10661.24,-10661.24,-10661.24,-10661.24,-10740.49,-11073.83,-11073.83,-11177.11,-11177.11,-11313.92,-11313.92,-11313.92,-11313.92,-11313.92,-11313.92,-11320.93,-11320.93,-11320.93,-11330.43,-11342.25,-11342.25,-11343.05,-11343.05,-11343.05
BBO,F9,0.27,442.79,416.38,416.38,416.38,416.38,401.75,343.74,324.72,293.14,293.14,275.59,275.59,275.59,275.59,274.73,274.73,229.5,228.95,228.95,228.95,228.95,145.1,81.05,81.05,81.05,81.05,81.05,81.05,81.05,55.92,55.92,55.92,52.56,52.56,52.56,52.56,52.56,33.47,33.47,33.47,33.47,32.93,32.3,21.05,17.86,17.72,17.41,17.41,14.09,13.84
BBO,F10,0.41,20.83,19.97,19.73,19.1,18.53,15.65,13.42,12.45,12.45,11.89,11.01,11.01,11.01,11.01,10.7,10.34,8.32,8.32,8.32,8.32,8.32,8.32,8.32,8.32,8.32,8.32,8.32,8.32,8.19,8.19,8.19,7.03,6.35,5.16,4.24,3.77,3.76,3.76,3.29,3.04,2.44,2.33,2.32,2.15,1.94,1.92,1.9,1.88,1.88,1.86
BBO,F11,0.37,625.31,625.31,625.31,625.31,563.17,563.17,431.88,431.88,431.88,431.88,431.88,431.88,390.02,342.45,332.78,305.07,135.14,135.14,135.14,135.14,56.49,52.04,52.04,14.34,6.62,5.97,1.38,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.16,0.99,0.81,0.67,0.67,0.59,0.59,0.47,0.47,0.45,0.45,0.45,0.45,0.45,0.45
HHO,F1,0.34,64231.28,12495.67,2005.74,392.75,181.91,59.64,9.07,4.33,2.82,0.9,0.09,0.04,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HHO,F2,0.27,5544168825455.95,108103.68,24.39,13.19,6.91,3.15,1.22,1.05,0.57,0.28,0.13,0.1,0.06,0.02,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
