Optimizer,objfname,ExecutionTime,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10,Iter11,Iter12,Iter13,Iter14,Iter15,Iter16,Iter17,Iter18,Iter19,Iter20,Iter21,Iter22,Iter23,Iter24,Iter25,Iter26,Iter27,Iter28,Iter29,Iter30,Iter31,Iter32,Iter33,Iter34,Iter35,Iter36,Iter37,Iter38,Iter39,Iter40,Iter41,Iter42,Iter43,Iter44,Iter45,Iter46,Iter47,Iter48,Iter49,Iter50,Iter51,Iter52,Iter53,Iter54,Iter55,Iter56,Iter57,Iter58,Iter59,Iter60,Iter61,Iter62,Iter63,Iter64,Iter65,Iter66,Iter67,Iter68,Iter69,Iter70,Iter71,Iter72,Iter73,Iter74,Iter75,Iter76,Iter77,Iter78,Iter79,Iter80,Iter81,Iter82,Iter83,Iter84,Iter85,Iter86,Iter87,Iter88,Iter89,Iter90,Iter91,Iter92,Iter93,Iter94,Iter95,Iter96,Iter97,Iter98,Iter99,Iter100,Iter101,Iter102,Iter103,Iter104,Iter105,Iter106,Iter107,Iter108,Iter109,Iter110,Iter111,Iter112,Iter113,Iter114,Iter115,Iter116,Iter117,Iter118,Iter119,Iter120,Iter121,Iter122,Iter123,Iter124,Iter125,Iter126,Iter127,Iter128,Iter129,Iter130,Iter131,Iter132,Iter133,Iter134,Iter135,Iter136,Iter137,Iter138,Iter139,Iter140,Iter141,Iter142,Iter143,Iter144,Iter145,Iter146,Iter147,Iter148,Iter149,Iter150,Iter151,Iter152,Iter153,Iter154,Iter155,Iter156,Iter157,Iter158,Iter159,Iter160,Iter161,Iter162,Iter163,Iter164,Iter165,Iter166,Iter167,Iter168,Iter169,Iter170,Iter171,Iter172,Iter173,Iter174,Iter175,Iter176,Iter177,Iter178,Iter179,Iter180,Iter181,Iter182,Iter183,Iter184,Iter185,Iter186,Iter187,Iter188,Iter189,Iter190,Iter191,Iter192,Iter193,Iter194,Iter195,Iter196,Iter197,Iter198,Iter199,Iter200
GWO,F1,7.79,68932.15,43240.15,39786.3,27252.66,23143.67,17961.98,14263.53,12160.5,8824.79,7150.57,6179.02,4171.98,3700.08,2764.66,2484.39,1881.9,1457.63,858.26,816.09,550.62,405.15,294.83,239.8,211.6,139.39,92.9,67.56,42.14,31.65,22.05,18.1,11.4,8.98,6.74,4.27,3.47,2.51,2.08,1.42,0.97,0.81,0.63,0.42,0.34,0.29,0.19,0.16,0.13,0.1,0.07,0.05,0.03,0.02,0.02,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GWO,F2,6.56,593649435934.41,2715623797.06,206741530.36,285458.18,9340.86,74.9,66.01,57.12,50.34,39.75,37.46,31.9,27.9,22.53,17.62,16.95,13.58,10.87,9.13,7.67,6.2,5.57,4.69,3.9,3.34,2.75,2.24,1.75,1.37,1.25,1.0,0.79,0.68,0.56,0.48,0.37,0.32,0.27,0.23,0.19,0.15,0.13,0.11,0.09,0.07,0.06,0.04,0.04,0.03,0.03,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GWO,F3,7.22,157463.71,136053.06,104688.44,77899.72,60136.88,57183.35,50867.05,45654.02,45654.02,36133.47,36133.47,35903.45,35842.12,31250.79,29642.67,27332.46,27332.46,25638.43,20151.94,19392.1,19392.1,19352.24,19352.24,17216.6,16969.03,13652.88,12841.31,12201.18,10895.42,10752.6,7839.08,7728.64,7728.64,6920.32,6920.32,6758.35,6758.35,5968.28,5906.2,5906.2,5634.72,5634.72,5127.45,4324.06,4324.06,4273.07,4141.44,4141.44,4062.62,4061.27,3862.13,3862.13,3566.55,3527.63,3496.78,3493.51,3468.38,3435.02,3349.85,3103.12,2950.15,2726.8,2690.87,2676.81,2676.81,2475.83,2470.59,2315.81,2315.81,2293.42,2245.87,2231.18,2229.29,1810.76,1770.13,1680.18,1378.4,1372.23,1153.79,1113.22,1111.35,926.29,908.07,870.61,822.84,821.64,699.15,694.29,689.49,616.25,566.55,544.74,544.74,486.51,429.41,407.82,387.02,381.0,348.44,320.07,281.29,251.52,251.1,247.61,247.05,222.81,217.35,209.95,209.26,184.04,181.22,181.14,178.72,173.17,167.67,163.11,142.04,140.04,137.67,130.34,120.54,114.32,103.26,103.03,95.22,93.41,90.38,80.58,76.82,73.37,71.69,67.36,62.94,59.71,57.18,53.33,48.99,47.18,43.94,42.15,41.13,38.83,36.07,35.28,32.68,31.06,31.01,29.46,29.38,28.53,27.73,26.84,25.97,24.84,24.24,22.52,21.46,20.69,20.67,20.1,19.65,19.44,18.93,18.34,17.71,16.93,16.16,15.58,15.39,14.82,14.56,13.82,13.79,13.08,12.67,12.56,12.2,12.05,11.68,11.53,11.22,10.99,10.8,10.71,10.51,10.29,10.18,10.11,9.98,9.79,9.75,9.63,9.5,9.38,9.32,9.26,9.19,9.15,9.12,9.09
GWO,F4,5.8,88.61,87.52,87.52,86.18,83.16,76.76,76.76,75.46,68.35,65.41,57.86,54.78,53.64,47.85,46.76,41.87,41.36,41.25,41.25,40.8,39.07,35.74,34.9,33.37,32.83,30.4,28.35,27.23,24.82,21.33,20.11,18.14,15.82,15.75,15.26,14.02,11.68,10.99,10.97,10.97,10.75,9.65,9.46,8.68,8.53,7.41,6.46,6.19,5.88,5.6,5.02,4.36,4.21,4.09,3.63,3.34,3.11,2.85,2.5,2.49,2.31,2.08,1.86,1.73,1.64,1.46,1.34,1.17,1.17,1.08,1.01,0.99,0.94,0.89,0.84,0.78,0.76,0.74,0.73,0.7,0.66,0.65,0.59,0.58,0.57,0.55,0.52,0.49,0.47,0.43,0.42,0.41,0.4,0.39,0.37,0.36,0.35,0.34,0.33,0.3,0.29,0.28,0.28,0.27,0.27,0.26,0.24,0.24,0.23,0.22,0.21,0.21,0.2,0.18,0.18,0.17,0.17,0.17,0.16,0.16,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
GWO,F5,5.85,270708981.68,171381620.83,137111316.33,91793243.15,61400237.51,30195710.01,24290728.74,14283230.75,8955838.37,5352734.98,3596170.46,2122249.86,1163692.69,785534.99,599949.88,316855.87,177188.77,111033.17,69513.18,44866.45,33734.07,15747.57,6646.52,4119.28,3125.4,1787.4,1508.83,805.67,751.07,569.3,438.53,314.62,211.68,182.52,153.93,119.14,99.75,80.57,63.43,54.56,45.54,41.29,38.22,35.64,33.71,32.18,31.12,30.5,29.76,29.49,29.22,29.08,28.92,28.85,28.73,28.64,28.6,28.5,28.45,28.36,28.36,28.28,28.25,28.21,28.2,28.19,28.18,28.17,28.14,28.12,28.07,28.02,27.99,27.99,27.99,27.99,27.98,27.98,27.97,27.95,27.94,27.94,27.93,27.92,27.91,27.91,27.87,27.87,27.87,27.83,27.83,27.78,27.77,27.73,27.69,27.64,27.6,27.58,27.55,27.48,27.43,27.43,27.42,27.38,27.33,27.33,27.33,27.29,27.27,27.27,27.23,27.22,27.22,27.2,27.19,27.18,27.18,27.18,27.16,27.16,27.16,27.16,27.16,27.15,27.12,27.11,27.11,27.11,27.11,27.11,27.1,27.1,27.1,27.1,27.1,27.1,27.09,27.09,27.08,27.08,27.08,27.08,27.08,27.07,27.07,27.07,27.07,27.07,27.07,27.07,27.07,27.06,27.06,27.06,27.06,27.06,27.06,27.06,27.06,27.06,27.06,27.05,27.05,27.05,27.05,27.05,27.04,27.04,27.04,27.04,27.04,27.04,27.04,27.04,27.04,27.04,27.04,27.03,27.03,27.03,27.03,27.03,27.03,27.03,27.03,27.03,27.03,27.03,27.03,27.02,27.02,27.02,27.02,27.02,27.02,27.02,27.02,27.02,27.01,27.01
GWO,F6,5.71,62118.35,54572.42,43471.67,32307.78,26957.21,19442.16,15654.64,9156.27,7344.66,6335.22,4276.22,3663.55,2696.94,2283.96,1713.52,1181.53,843.33,582.82,389.41,334.31,252.64,184.91,152.44,129.45,107.3,74.46,50.89,41.67,34.93,26.85,17.32,14.89,10.6,8.32,7.26,6.35,5.57,4.83,4.18,3.67,3.41,3.28,3.1,3.04,2.96,2.77,2.68,2.55,2.5,2.42,2.38,2.34,2.33,2.33,2.26,2.23,2.23,2.23,2.23,2.2,2.18,2.18,2.16,2.16,2.13,2.12,2.12,2.11,2.09,2.09,2.07,2.07,2.05,2.05,2.01,2.0,2.0,1.97,1.96,1.96,1.94,1.94,1.92,1.89,1.89,1.83,1.83,1.82,1.81,1.79,1.79,1.79,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.75,1.73,1.73,1.73,1.72,1.71,1.71,1.71,1.71,1.71,1.71,1.71,1.7,1.69,1.69,1.69,1.68,1.68,1.68,1.68,1.68,1.68,1.67,1.67,1.66,1.66,1.66,1.66,1.66,1.65,1.65,1.65,1.65,1.65,1.65,1.65,1.64,1.64,1.64,1.64,1.64,1.64,1.63,1.63,1.63,1.63,1.62,1.62,1.62,1.61,1.61,1.61,1.61,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.59,1.59,1.59,1.59,1.59,1.59,1.59,1.59,1.59,1.58,1.58,1.58,1.58,1.58,1.58,1.58,1.58,1.58,1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.56,1.56,1.56,1.56,1.56,1.56
GWO,F7,6.5,119.99,82.38,49.95,28.6,21.01,15.95,7.87,5.6,5.0,2.97,1.9,1.25,0.93,0.79,0.58,0.37,0.37,0.37,0.29,0.29,0.26,0.2,0.2,0.2,0.17,0.16,0.16,0.16,0.1,0.1,0.09,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
GWO,F8,6.46,-2047.63,-2292.42,-2303.37,-2303.37,-2308.27,-2576.54,-2576.54,-2576.54,-2576.54,-2620.56,-2620.56,-2620.56,-2620.56,-2620.56,-2620.56,-2620.56,-2620.56,-2620.56,-2620.56,-2750.74,-2750.74,-2750.74,-2750.74,-2750.74,-2750.74,-3045.66,-3045.66,-3084.34,-3111.06,-3111.06,-3111.06,-3111.06,-3111.06,-3111.06,-3111.06,-3111.06,-3111.06,-3111.06,-3111.06,-3310.1,-3310.1,-3310.1,-3310.1,-3310.1,-3310.1,-3310.1,-3310.1,-3310.1,-3409.09,-3409.09,-3409.09,-3409.09,-3409.09,-3409.09,-3409.09,-3409.09,-3409.09,-3409.09,-3409.09,-3409.09,-3409.09,-3522.11,-3522.11,-3522.11,-3522.11,-3522.11,-3522.11,-3522.11,-3522.11,-3522.11,-3522.11,-3522.11,-3522.11,-3522.11,-3522.11,-3522.11,-3522.11,-3522.11,-3684.56,-3684.56,-3684.56,-3684.56,-3684.56,-3684.56,-3684.56,-3684.56,-3684.56,-3684.56,-3684.56,-3684.56,-3684.56,-3684.56,-3684.56,-3684.56,-3684.56,-3684.56,-3799.44,-3799.44,-3799.44,-3799.44,-3799.44,-3799.44,-3799.44,-3799.44,-3799.44,-3799.44,-3799.44,-3799.44,-3799.44,-3799.44,-3799.44,-3799.44,-3799.44,-3799.44,-3829.81,-3831.5,-3831.5,-4075.74,-4075.74,-4075.74,-4075.74,-4075.74,-4075.74,-4075.74,-4085.37,-4097.68,-4097.68,-4097.68,-4168.87,-4168.87,-4168.87,-4168.87,-4168.87,-4168.87,-4168.87,-4168.87,-4509.49,-4509.49,-4509.49,-4509.49,-4509.49,-4617.85,-4617.85,-4647.87,-4853.34,-4853.34,-5005.93,-5005.93,-5005.93,-5005.93,-5023.9,-5105.51,-5135.84,-5186.86,-5186.86,-5256.98,-5256.98,-5280.76,-5438.58,-5438.58,-5548.46,-5596.64,-5635.21,-5741.54,-5818.99,-5823.53,-5845.55,-5964.14,-6005.65,-6102.31,-6113.69,-6144.68,-6146.15,-6170.32,-6204.75,-6213.6,-6213.6,-6213.6,-6349.63,-6357.27,-6383.41,-6404.55,-6426.28,-6446.57,-6514.88,-6514.88,-6534.87,-6550.7,-6573.73,-6577.38,-6587.77,-6619.07,-6629.96,-6631.83,-6646.41,-6662.82,-6678.73,-6688.37,-6695.32,-6697.81
GWO,F9,5.76,438.58,385.27,356.41,346.89,338.41,328.95,327.53,295.79,294.79,266.7,247.43,247.43,247.43,247.43,247.43,247.43,245.45,221.67,221.67,221.67,219.9,218.36,210.2,210.03,198.7,188.46,188.46,187.61,183.22,179.34,155.89,155.46,151.22,135.37,135.37,135.37,123.44,121.87,113.74,113.74,106.57,101.79,99.6,94.37,94.37,94.37,94.37,92.32,90.97,89.28,85.6,82.55,82.04,80.75,80.21,77.23,77.23,72.02,71.79,71.79,69.89,69.89,68.39,68.28,68.28,68.28,59.71,59.66,59.02,57.97,57.34,57.34,57.34,53.82,53.82,49.71,49.71,49.71,48.04,48.04,47.52,44.55,44.55,44.55,44.55,44.55,44.55,44.55,44.55,44.39,44.39,44.39,41.32,41.32,41.32,41.32,41.32,41.32,41.32,41.27,41.27,41.27,41.27,41.27,41.27,41.27,41.27,41.26,36.32,36.32,36.32,36.32,34.16,34.16,34.14,33.6,33.49,33.49,33.49,33.49,33.48,33.48,33.45,33.45,33.45,33.45,33.45,33.38,33.38,33.38,33.37,33.37,31.65,31.65,31.64,31.06,30.61,30.61,30.44,30.44,29.92,29.92,29.92,29.92,29.76,27.39,26.13,25.81,24.78,24.78,24.63,24.63,24.63,24.63,24.44,23.97,23.97,23.97,23.91,23.13,21.33,20.84,20.37,20.37,20.35,20.35,20.14,20.08,20.08,20.08,20.08,20.08,20.08,19.25,18.99,18.99,18.99,18.99,18.37,18.37,18.0,17.98,17.92,17.88,17.72,17.68,17.63,17.56,17.38,17.25,17.25,17.11,17.09,16.99,16.88,16.81,16.72,16.7,16.65,16.62
GWO,F10,6.25,20.76,20.29,20.11,19.58,19.15,18.33,17.15,16.73,16.28,15.62,14.53,13.66,12.61,11.75,11.06,9.7,9.1,8.05,7.51,6.87,6.31,5.71,5.11,4.62,4.1,3.73,3.5,3.16,2.94,2.44,2.22,1.81,1.63,1.34,1.17,1.0,0.85,0.71,0.53,0.41,0.3,0.24,0.2,0.16,0.12,0.1,0.09,0.08,0.06,0.06,0.04,0.04,0.03,0.03,0.03,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
