Optimizer,objfname,ExecutionTime,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10,Iter11,Iter12,Iter13,Iter14,Iter15,Iter16,Iter17,Iter18,Iter19,Iter20,Iter21,Iter22,Iter23,Iter24,Iter25,Iter26,Iter27,Iter28,Iter29,Iter30,Iter31,Iter32,Iter33,Iter34,Iter35,Iter36,Iter37,Iter38,Iter39,Iter40,Iter41,Iter42,Iter43,Iter44,Iter45,Iter46,Iter47,Iter48,Iter49,Iter50
HHO,F5,0.21,265668423.54,42068913.61,1438767.61,83481.69,9801.62,8928.31,363.44,124.27,81.93,69.78,40.29,17.05,17.05,4.81,3.3,3.16,3.07,3.01,2.98,2.86,2.86,2.64,2.19,2.16,1.8,1.74,1.74,1.45,1.41,1.37,1.34,1.3,1.29,1.25,1.22,1.19,1.16,1.15,1.14,1.14,1.13,1.12,1.11,1.11,1.11,1.1,1.1,1.1,1.1,1.1
HHO,F6,0.2,69590.59,16490.2,8053.85,1336.6,648.07,288.14,73.79,22.24,11.83,2.39,1.19,0.74,0.5,0.41,0.22,0.21,0.04,0.04,0.03,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HHO,F7,0.38,98.08,20.93,0.59,0.24,0.06,0.06,0.05,0.05,0.04,0.03,0.03,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HHO,F8,0.35,-2535.41,-3356.46,-3560.0,-4357.53,-4825.33,-5084.66,-6498.79,-6737.1,-6989.28,-7028.29,-7438.1,-7791.52,-7836.73,-7846.74,-7853.26,-8064.9,-8094.93,-8253.71,-8255.86,-8517.78,-8604.29,-8666.32,-8676.02,-8695.75,-8751.9,-8753.76,-8753.76,-8753.76,-8753.76,-8754.04,-8754.22,-8754.42,-8754.6,-8769.01,-8774.64,-8778.71,-8781.99,-8782.22,-8782.91,-8783.16,-8783.31,-8783.44,-8783.65,-8784.11,-8784.62,-8784.78,-8784.83,-8784.97,-8785.02,-8785.03
HHO,F9,0.3,440.4,328.77,281.31,215.37,149.46,57.64,56.34,34.17,5.46,4.4,3.25,0.16,0.03,0.03,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HHO,F10,0.35,20.57,17.5,10.7,7.67,5.24,3.98,2.89,1.13,0.97,0.88,0.58,0.07,0.04,0.03,0.03,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HHO,F11,0.59,591.48,252.26,26.11,6.57,2.28,1.36,1.11,0.88,0.74,0.69,0.57,0.49,0.26,0.21,0.06,0.03,0.03,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HHO,F12,0.53,514315262.32,83049595.55,15.96,11.11,6.17,2.84,1.33,0.71,0.32,0.03,0.03,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HHO,F13,0.46,1252389635.27,66495579.99,41204.2,82.87,9.84,7.58,1.74,0.91,0.42,0.36,0.26,0.12,0.06,0.05,0.04,0.04,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
