Optimizer,objfname,ExecutionTime,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10,Iter11,Iter12,Iter13,Iter14,Iter15,Iter16,Iter17,Iter18,Iter19,Iter20,Iter21,Iter22,Iter23,Iter24,Iter25,Iter26,Iter27,Iter28,Iter29,Iter30,Iter31,Iter32,Iter33,Iter34,Iter35,Iter36,Iter37,Iter38,Iter39,Iter40,Iter41,Iter42,Iter43,Iter44,Iter45,Iter46,Iter47,Iter48,Iter49,Iter50,Iter51,Iter52,Iter53,Iter54,Iter55,Iter56,Iter57,Iter58,Iter59,Iter60,Iter61,Iter62,Iter63,Iter64,Iter65,Iter66,Iter67,Iter68,Iter69,Iter70,Iter71,Iter72,Iter73,Iter74,Iter75,Iter76,Iter77,Iter78,Iter79,Iter80,Iter81,Iter82,Iter83,Iter84,Iter85,Iter86,Iter87,Iter88,Iter89,Iter90,Iter91,Iter92,Iter93,Iter94,Iter95,Iter96,Iter97,Iter98,Iter99,Iter100,Iter101,Iter102,Iter103,Iter104,Iter105,Iter106,Iter107,Iter108,Iter109,Iter110,Iter111,Iter112,Iter113,Iter114,Iter115,Iter116,Iter117,Iter118,Iter119,Iter120,Iter121,Iter122,Iter123,Iter124,Iter125,Iter126,Iter127,Iter128,Iter129,Iter130,Iter131,Iter132,Iter133,Iter134,Iter135,Iter136,Iter137,Iter138,Iter139,Iter140,Iter141,Iter142,Iter143,Iter144,Iter145,Iter146,Iter147,Iter148,Iter149,Iter150,Iter151,Iter152,Iter153,Iter154,Iter155,Iter156,Iter157,Iter158,Iter159,Iter160,Iter161,Iter162,Iter163,Iter164,Iter165,Iter166,Iter167,Iter168,Iter169,Iter170,Iter171,Iter172,Iter173,Iter174,Iter175,Iter176,Iter177,Iter178,Iter179,Iter180,Iter181,Iter182,Iter183,Iter184,Iter185,Iter186,Iter187,Iter188,Iter189,Iter190,Iter191,Iter192,Iter193,Iter194,Iter195,Iter196,Iter197,Iter198,Iter199,Iter200
GWO,F1,8.57,68167.74,50398.33,43897.05,32984.75,26599.05,18564.48,15821.88,11732.32,9453.53,8372.47,6085.19,4678.99,2895.24,2449.82,1849.41,1560.81,1143.73,866.08,721.11,488.68,390.51,271.73,209.57,163.28,121.7,82.69,57.37,40.89,31.52,25.24,17.4,15.19,10.97,8.49,5.9,4.75,2.99,2.61,1.97,1.31,0.9,0.67,0.47,0.35,0.27,0.21,0.15,0.11,0.08,0.06,0.05,0.04,0.03,0.02,0.02,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GWO,F2,5.85,14034932489578.69,125085482735.69,344809212.86,195705.69,22963.24,554.7,57.82,53.36,48.17,39.37,30.37,27.12,22.29,18.42,16.81,14.62,13.09,11.08,9.22,8.12,7.11,5.93,4.88,3.99,3.65,3.01,2.58,2.15,1.88,1.6,1.38,1.0,0.84,0.71,0.61,0.49,0.41,0.35,0.29,0.25,0.21,0.17,0.14,0.11,0.1,0.08,0.07,0.05,0.05,0.04,0.04,0.03,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GWO,F3,6.66,177882.9,123587.44,95027.21,60877.27,60877.27,53538.81,53199.17,51518.92,48145.27,38490.08,36023.36,36023.36,36023.36,32910.61,32910.61,31459.17,29226.81,28540.77,23717.14,22812.79,22812.79,22080.93,22080.93,18237.87,17527.78,15391.94,14300.54,14300.54,13516.84,13516.84,13418.94,11536.95,11536.95,11185.01,10861.74,10563.71,10193.42,9510.7,8847.18,8847.18,7855.39,7760.15,6601.31,5572.65,5494.43,5494.43,4590.49,4590.49,3596.24,3596.24,3240.88,2757.74,2757.74,2651.17,2263.3,2263.3,2153.73,2044.27,1982.73,1982.73,1916.93,1672.09,1672.09,1672.09,1664.05,1601.66,1579.9,1579.9,1519.92,1430.6,1366.51,1288.83,1148.26,1007.46,953.2,927.48,916.75,862.7,780.45,780.45,780.45,753.27,726.18,718.67,680.82,680.82,645.88,626.59,606.55,600.9,559.16,556.27,542.45,519.45,502.86,501.47,477.91,473.89,465.62,427.03,427.03,406.3,395.91,388.05,388.05,385.39,349.95,311.58,281.33,263.36,260.57,223.9,217.55,210.23,205.11,194.92,190.96,190.43,172.52,171.5,160.2,158.0,138.29,130.84,124.82,123.75,115.55,113.7,109.66,103.23,101.29,98.73,87.56,85.96,85.96,85.66,84.26,83.98,81.78,73.98,73.91,73.4,73.3,68.9,63.95,63.58,57.98,57.31,56.92,55.23,52.96,52.7,48.85,48.38,47.61,41.86,41.43,40.69,40.4,39.1,36.6,36.44,36.04,35.41,34.19,32.21,32.16,31.34,30.2,29.77,28.38,27.84,26.49,25.41,24.72,24.41,24.38,23.73,23.4,22.88,22.36,22.27,21.86,21.29,20.98,20.66,20.66,20.43,20.13,19.89,19.78,19.61,19.46,19.37,19.22,18.98,18.78,18.77,18.67,18.66
GWO,F4,5.4,84.17,84.17,83.25,80.52,75.19,69.33,67.1,66.66,61.39,57.82,57.7,52.67,46.43,45.23,43.18,40.8,38.98,38.38,35.55,34.34,33.52,30.4,28.28,25.96,23.51,23.47,21.98,21.21,18.05,14.84,13.9,12.44,11.42,10.49,8.87,8.27,7.84,7.3,7.21,6.04,5.89,5.8,5.67,5.16,4.85,4.55,3.92,3.91,3.44,3.38,2.91,2.82,2.54,2.53,2.45,2.2,1.92,1.82,1.59,1.55,1.47,1.47,1.28,1.07,1.07,1.04,1.02,0.98,0.97,0.9,0.83,0.77,0.75,0.72,0.66,0.66,0.65,0.59,0.57,0.55,0.54,0.53,0.49,0.44,0.43,0.4,0.4,0.38,0.37,0.35,0.35,0.34,0.34,0.34,0.33,0.33,0.32,0.32,0.32,0.3,0.29,0.28,0.28,0.26,0.24,0.24,0.23,0.23,0.21,0.21,0.2,0.2,0.19,0.18,0.18,0.17,0.17,0.17,0.16,0.16,0.15,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
GWO,F5,5.45,265152925.2,247365771.06,136162359.4,80986146.75,33612917.8,27535044.06,22303048.71,14546033.85,10680583.22,7959086.12,4166925.36,3466811.98,1709048.72,1305547.19,848640.96,360188.33,338248.82,168717.46,135217.34,118472.4,89244.22,42233.4,37969.08,19643.76,16308.45,11827.42,6127.14,3234.97,2258.2,1819.07,1233.39,916.38,808.16,579.87,529.15,334.95,313.6,237.79,154.93,116.35,99.8,87.86,66.13,56.34,49.98,45.0,40.69,38.29,36.3,34.49,33.22,31.6,31.02,30.46,29.85,29.62,29.34,29.27,29.09,29.01,28.93,28.88,28.82,28.77,28.72,28.66,28.63,28.59,28.56,28.53,28.49,28.48,28.43,28.43,28.43,28.42,28.4,28.39,28.38,28.35,28.34,28.28,28.25,28.22,28.22,28.21,28.2,28.19,28.12,28.12,28.09,28.06,28.04,28.01,28.0,27.99,27.99,27.99,27.99,27.96,27.95,27.95,27.95,27.95,27.95,27.94,27.94,27.93,27.92,27.91,27.89,27.87,27.84,27.83,27.8,27.79,27.76,27.75,27.73,27.71,27.69,27.68,27.68,27.68,27.67,27.67,27.66,27.66,27.64,27.63,27.61,27.61,27.61,27.61,27.6,27.59,27.58,27.57,27.56,27.54,27.54,27.53,27.49,27.49,27.49,27.48,27.47,27.47,27.46,27.46,27.46,27.46,27.46,27.46,27.45,27.45,27.44,27.44,27.44,27.43,27.43,27.43,27.43,27.42,27.42,27.42,27.42,27.42,27.42,27.41,27.41,27.41,27.41,27.41,27.41,27.41,27.41,27.41,27.41,27.41,27.41,27.41,27.41,27.41,27.41,27.41,27.41,27.41,27.4,27.4,27.4,27.4,27.4,27.4,27.4,27.4,27.4,27.4,27.4,27.4
GWO,F6,6.09,72101.62,52291.92,39568.88,31844.86,23002.28,15954.87,13331.82,11542.41,7497.06,6041.83,4528.85,3966.17,3471.81,2494.07,1663.91,1555.46,1155.85,894.36,647.2,445.21,365.89,240.22,188.95,119.13,104.15,89.44,73.8,57.17,45.75,29.89,25.7,20.56,14.28,12.25,9.96,8.04,6.17,5.33,4.85,4.23,3.57,3.39,3.1,3.01,2.87,2.73,2.6,2.56,2.51,2.47,2.46,2.45,2.41,2.38,2.3,2.23,2.2,2.19,2.17,2.16,2.16,2.12,2.12,2.1,2.08,2.08,2.08,2.07,2.05,2.05,2.04,2.01,2.01,1.99,1.99,1.95,1.95,1.95,1.92,1.91,1.91,1.91,1.9,1.88,1.87,1.84,1.84,1.82,1.81,1.81,1.76,1.75,1.75,1.72,1.72,1.72,1.71,1.69,1.69,1.69,1.69,1.69,1.68,1.68,1.66,1.66,1.66,1.62,1.62,1.6,1.6,1.58,1.58,1.57,1.55,1.54,1.54,1.52,1.52,1.52,1.49,1.49,1.49,1.48,1.48,1.48,1.46,1.45,1.45,1.44,1.43,1.43,1.41,1.4,1.39,1.38,1.37,1.37,1.37,1.36,1.36,1.36,1.36,1.35,1.34,1.34,1.33,1.33,1.33,1.32,1.32,1.32,1.31,1.3,1.3,1.29,1.29,1.28,1.28,1.28,1.28,1.28,1.28,1.27,1.27,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.23,1.23,1.23,1.23,1.23,1.23,1.23
GWO,F7,5.53,119.91,82.29,48.05,47.3,22.5,17.48,16.31,9.15,7.6,5.64,3.05,2.48,1.67,1.38,0.91,0.46,0.46,0.38,0.33,0.32,0.25,0.25,0.25,0.24,0.21,0.13,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.06,0.06,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
GWO,F8,5.38,-3153.24,-3153.24,-3153.24,-3153.24,-3153.24,-3322.71,-3322.71,-3345.26,-3345.26,-3345.26,-3345.26,-3345.26,-3345.26,-3345.26,-3345.26,-3345.26,-3345.26,-3345.26,-3345.26,-3345.26,-3345.26,-3345.26,-3345.26,-3345.26,-3345.26,-3345.26,-3345.26,-3345.26,-3345.26,-3345.26,-3345.26,-3345.26,-3345.26,-3345.26,-3345.26,-3345.26,-3345.26,-3345.26,-3345.26,-3345.26,-3345.26,-3345.26,-3345.26,-3354.99,-3354.99,-3379.9,-3379.9,-3379.9,-3379.9,-3456.07,-3456.07,-3456.07,-3456.07,-3456.07,-3456.07,-3456.07,-3456.07,-3456.07,-3456.07,-3456.07,-3456.07,-3456.07,-3456.07,-3515.09,-3592.52,-3592.52,-3592.52,-3592.52,-3592.52,-3592.52,-3592.52,-3592.52,-3592.52,-3592.52,-3592.52,-3592.52,-3592.52,-3592.52,-3592.52,-3592.52,-3592.52,-3592.52,-3592.52,-3592.52,-3592.52,-3592.52,-3592.52,-3592.52,-3592.52,-3592.52,-3592.52,-3592.52,-3592.52,-3592.52,-3592.52,-3592.52,-3592.52,-3592.52,-3760.16,-3760.16,-3760.16,-3884.88,-3884.88,-3929.03,-3929.03,-3929.03,-3929.03,-3929.03,-3929.03,-4012.91,-4012.91,-4012.91,-4012.91,-4012.91,-4012.91,-4012.91,-4012.91,-4012.91,-4189.49,-4189.49,-4189.49,-4555.33,-4555.33,-4555.33,-4555.33,-4555.33,-4555.33,-4555.33,-4555.33,-4555.33,-4555.33,-4583.22,-4583.22,-4583.22,-4583.22,-4583.22,-4614.82,-4614.82,-4704.96,-4704.96,-4704.96,-4815.86,-4815.86,-4845.86,-4845.86,-4959.91,-5031.75,-5291.27,-5520.72,-5520.72,-5520.72,-5520.72,-5632.96,-5773.15,-5773.15,-5869.45,-5869.45,-5869.45,-5869.45,-5908.07,-6096.26,-6096.26,-6157.52,-6160.43,-6160.43,-6160.43,-6275.09,-6277.12,-6310.89,-6310.89,-6349.47,-6392.6,-6509.92,-6613.59,-6697.4,-6751.17,-6777.63,-6786.65,-6796.65,-6863.8,-6863.8,-6863.8,-6978.53,-6978.53,-6988.3,-7012.69,-7018.06,-7045.17,-7096.49,-7104.59,-7129.75,-7150.27,-7170.2,-7190.91,-7213.03,-7231.79,-7242.81,-7257.25,-7275.53,-7281.25
GWO,F9,5.2,449.55,372.09,369.8,352.66,338.84,328.76,324.52,314.26,302.76,292.22,292.22,285.36,282.97,276.56,256.06,251.65,251.65,234.92,218.99,218.99,213.53,213.53,205.19,188.57,186.08,186.08,170.39,169.73,165.1,165.1,165.1,165.1,162.48,162.48,159.96,159.96,153.24,146.58,146.58,146.58,146.58,146.58,146.58,146.58,142.8,138.8,133.95,133.95,132.99,132.99,132.99,132.99,131.26,131.26,130.42,130.42,130.42,130.36,129.39,123.18,116.22,116.22,110.09,110.09,110.09,110.09,110.09,110.09,110.09,109.3,109.3,109.3,109.3,101.53,99.6,98.76,94.27,85.55,85.55,85.55,85.55,85.55,85.55,85.5,85.5,84.53,84.53,83.46,83.46,83.46,83.46,83.46,82.28,76.38,76.38,76.38,75.68,75.68,72.71,72.71,72.71,72.71,68.63,68.63,67.69,67.69,67.69,67.69,67.69,67.69,67.69,67.69,63.84,63.84,63.84,63.84,63.84,63.16,59.63,59.63,58.83,58.83,58.83,58.01,55.46,55.46,54.46,54.46,54.46,54.46,54.0,51.56,51.56,51.44,51.44,51.44,50.51,50.51,50.51,50.51,46.99,46.83,46.83,46.83,45.94,44.94,44.47,43.46,42.8,42.8,42.8,42.8,41.66,39.36,39.36,39.36,39.36,37.56,37.56,37.56,36.23,36.23,36.23,36.23,35.15,34.47,34.22,34.16,34.16,33.62,32.86,32.86,32.8,31.42,30.73,30.73,30.73,30.04,30.04,30.03,30.01,29.41,29.26,29.16,29.07,28.74,28.59,28.31,28.21,28.09,27.96,27.96,27.89,27.65,27.46,27.22,27.09,26.95,26.89,26.83
GWO,F10,5.59,20.82,20.15,19.35,18.79,18.44,17.35,16.78,15.53,14.17,13.8,12.86,12.22,11.18,10.44,9.19,7.76,7.28,6.76,6.38,5.96,5.54,5.29,4.68,4.41,3.65,3.41,3.1,2.74,2.44,2.2,1.93,1.76,1.38,1.24,1.03,0.79,0.59,0.47,0.36,0.3,0.22,0.17,0.15,0.12,0.09,0.08,0.06,0.06,0.04,0.04,0.03,0.03,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
