Optimizer,objfname,ExecutionTime,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10,Iter11,Iter12,Iter13,Iter14,Iter15,Iter16,Iter17,Iter18,Iter19,Iter20,Iter21,Iter22,Iter23,Iter24,Iter25,Iter26,Iter27,Iter28,Iter29,Iter30,Iter31,Iter32,Iter33,Iter34,Iter35,Iter36,Iter37,Iter38,Iter39,Iter40,Iter41,Iter42,Iter43,Iter44,Iter45,Iter46,Iter47,Iter48,Iter49,Iter50
GRMO,F1,4.02,62013.23,952.9,197.12,24.23,6.07,1.09,0.27,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GRMO,F2,2.9,4000369372824.58,15.0,5.69,1.78,0.9,0.38,0.18,0.09,0.03,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GRMO,F3,4.67,126506.67,5675.1,938.16,168.53,34.53,2.72,0.62,0.11,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GRMO,F4,2.76,88.27,13.62,5.24,1.88,0.62,0.27,0.16,0.06,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GRMO,F5,3.01,244268291.17,212094.96,9423.08,574.64,61.2,38.2,30.65,29.09,29.0,28.98,28.98,28.97,28.97,28.97,28.97,28.97,28.97,28.97,28.97,28.97,28.97,28.97,28.97,28.97,28.97,28.97,28.97,28.97,28.97,28.97,28.97,28.97,28.97,28.97,28.97,28.97,28.97,28.97,28.97,28.97,28.97,28.97,28.97,28.97,28.97,28.97,28.97,28.97,28.97,28.97
GRMO,F6,2.88,70725.35,1337.94,340.56,42.94,12.44,7.82,7.12,7.02,7.0,6.99,6.98,6.98,6.98,6.97,6.97,6.97,6.96,6.96,6.96,6.96,6.95,6.95,6.95,6.95,6.95,6.95,6.94,6.94,6.94,6.94,6.94,6.94,6.94,6.93,6.93,6.93,6.93,6.93,6.93,6.93,6.93,6.93,6.93,6.93,6.92,6.92,6.92,6.92,6.92,6.92
GRMO,F7,2.83,122.96,0.19,0.1,0.08,0.05,0.03,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GRMO,F8,2.72,-1928.58,-2257.2,-2493.62,-2742.04,-2797.31,-2830.47,-2862.58,-2871.28,-2881.08,-2891.93,-2892.92,-2902.32,-2926.37,-2939.31,-2939.31,-2968.46,-2968.46,-2968.46,-2968.46,-2968.46,-2973.02,-2973.02,-2973.02,-2973.02,-3008.23,-3031.14,-3031.14,-3049.56,-3049.56,-3049.56,-3049.56,-3049.56,-3049.72,-3049.72,-3049.72,-3049.72,-3059.46,-3059.46,-3059.46,-3059.46,-3081.15,-3081.41,-3081.41,-3081.41,-3081.41,-3086.56,-3112.44,-3135.23,-3135.23,-3137.73
GRMO,F9,2.58,448.1,200.13,177.7,45.34,8.07,2.03,0.33,0.05,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GRMO,F10,2.95,20.67,7.77,4.47,1.88,0.64,0.3,0.1,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GRMO,F11,2.9,589.8,12.06,3.6,1.17,1.07,0.77,0.29,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GRMO,F12,3.45,629221617.29,8.64,2.73,1.81,1.43,1.28,1.25,1.24,1.23,1.21,1.21,1.2,1.19,1.18,1.17,1.16,1.16,1.15,1.13,1.13,1.12,1.12,1.11,1.1,1.1,1.09,1.09,1.08,1.08,1.07,1.07,1.06,1.06,1.06,1.05,1.05,1.04,1.04,1.04,1.03,1.03,1.03,1.02,1.02,1.02,1.02,1.02,1.02,1.01,1.01
GRMO,F13,3.49,1292096934.86,477.22,10.31,4.55,3.79,3.68,3.47,3.33,3.28,3.28,3.27,3.26,3.25,3.24,3.23,3.23,3.23,3.23,3.23,3.23,3.23,3.23,3.23,3.23,3.23,3.23,3.23,3.23,3.23,3.23,3.23,3.23,3.23,3.23,3.23,3.23,3.23,3.23,3.23,3.23,3.22,3.22,3.22,3.22,3.22,3.22,3.22,3.22,3.22,3.21
