Optimizer,objfname,ExecutionTime,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10,Iter11,Iter12,Iter13,Iter14,Iter15,Iter16,Iter17,Iter18,Iter19,Iter20,Iter21,Iter22,Iter23,Iter24,Iter25,Iter26,Iter27,Iter28,Iter29,Iter30,Iter31,Iter32,Iter33,Iter34,Iter35,Iter36,Iter37,Iter38,Iter39,Iter40,Iter41,Iter42,Iter43,Iter44,Iter45,Iter46,Iter47,Iter48,Iter49,Iter50,Iter51,Iter52,Iter53,Iter54,Iter55,Iter56,Iter57,Iter58,Iter59,Iter60,Iter61,Iter62,Iter63,Iter64,Iter65,Iter66,Iter67,Iter68,Iter69,Iter70,Iter71,Iter72,Iter73,Iter74,Iter75,Iter76,Iter77,Iter78,Iter79,Iter80,Iter81,Iter82,Iter83,Iter84,Iter85,Iter86,Iter87,Iter88,Iter89,Iter90,Iter91,Iter92,Iter93,Iter94,Iter95,Iter96,Iter97,Iter98,Iter99,Iter100,Iter101,Iter102,Iter103,Iter104,Iter105,Iter106,Iter107,Iter108,Iter109,Iter110,Iter111,Iter112,Iter113,Iter114,Iter115,Iter116,Iter117,Iter118,Iter119,Iter120,Iter121,Iter122,Iter123,Iter124,Iter125,Iter126,Iter127,Iter128,Iter129,Iter130,Iter131,Iter132,Iter133,Iter134,Iter135,Iter136,Iter137,Iter138,Iter139,Iter140,Iter141,Iter142,Iter143,Iter144,Iter145,Iter146,Iter147,Iter148,Iter149,Iter150,Iter151,Iter152,Iter153,Iter154,Iter155,Iter156,Iter157,Iter158,Iter159,Iter160,Iter161,Iter162,Iter163,Iter164,Iter165,Iter166,Iter167,Iter168,Iter169,Iter170,Iter171,Iter172,Iter173,Iter174,Iter175,Iter176,Iter177,Iter178,Iter179,Iter180,Iter181,Iter182,Iter183,Iter184,Iter185,Iter186,Iter187,Iter188,Iter189,Iter190,Iter191,Iter192,Iter193,Iter194,Iter195,Iter196,Iter197,Iter198,Iter199,Iter200
GWO,F1,8.52,67331.93,49178.79,35212.97,27229.65,21372.68,14477.6,13411.43,10813.11,8303.66,7112.83,5045.75,4364.45,3003.99,2031.45,1750.68,1293.6,952.29,752.29,537.47,356.52,267.99,173.72,147.82,110.63,74.03,47.15,35.06,24.2,16.99,12.34,9.11,6.43,5.35,4.14,3.25,2.59,1.57,1.31,1.0,0.78,0.55,0.34,0.25,0.19,0.13,0.08,0.07,0.05,0.03,0.03,0.02,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GWO,F2,6.83,286823166829.83,3335240.08,3334484.76,1610765.27,760.48,448.41,59.02,54.02,48.61,42.46,37.63,29.59,27.31,22.34,16.66,13.79,12.09,10.81,9.05,7.48,6.35,5.04,4.19,3.63,2.99,2.65,2.01,1.71,1.51,1.18,0.97,0.89,0.69,0.59,0.51,0.43,0.38,0.31,0.26,0.22,0.19,0.16,0.12,0.11,0.09,0.07,0.06,0.05,0.04,0.03,0.03,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GWO,F3,7.82,123491.92,88400.87,76545.23,75806.53,66909.45,66190.66,58757.6,47965.53,47630.3,41216.24,33674.22,33674.22,31316.62,31316.62,27368.92,25949.07,24182.35,21746.72,18844.63,18570.81,17358.88,16813.24,14933.19,14933.19,12709.58,10916.17,10916.17,10016.9,9376.05,9304.11,7886.97,7556.94,6278.07,5836.68,4537.54,4109.47,4109.47,4109.47,3818.42,3818.42,3266.09,3171.62,3037.28,2957.19,2793.24,2583.62,2516.32,2324.23,2203.94,1963.32,1736.5,1466.41,1391.94,1270.6,1169.24,1169.24,1068.97,1068.97,810.82,743.15,694.25,664.27,636.6,579.75,576.75,574.08,487.73,475.94,439.39,429.6,429.6,389.0,360.6,303.7,297.47,291.75,280.76,262.3,235.72,223.12,223.12,211.27,192.76,182.51,160.68,160.57,159.75,149.68,127.59,126.45,123.5,115.92,114.41,105.77,99.31,94.23,91.46,87.87,80.3,78.39,74.91,73.72,72.37,72.37,62.05,62.05,57.96,54.35,51.02,50.82,47.31,41.9,40.33,36.56,35.11,35.06,30.31,28.96,27.98,26.01,25.94,25.09,24.84,24.27,24.1,23.45,21.92,20.63,19.57,18.35,17.26,15.92,15.29,13.53,13.07,12.64,11.83,11.44,10.86,10.45,9.97,9.87,9.53,9.08,8.63,8.63,8.14,7.98,7.54,7.2,6.68,6.58,6.18,6.13,5.86,5.8,5.72,5.69,5.39,5.26,5.12,4.96,4.7,4.58,4.48,4.37,4.29,4.18,4.05,3.92,3.76,3.65,3.56,3.55,3.39,3.31,3.26,3.21,3.09,3.05,2.99,2.93,2.87,2.84,2.79,2.75,2.71,2.67,2.61,2.6,2.57,2.56,2.54,2.51,2.49,2.47,2.46,2.45,2.44,2.44
GWO,F4,5.7,90.07,89.23,85.24,76.03,70.86,66.84,62.95,60.34,54.15,47.28,45.5,44.34,43.9,41.94,38.5,37.08,34.86,30.81,28.54,23.76,21.73,20.23,19.52,18.09,18.09,15.96,15.7,13.88,12.7,12.04,10.14,9.3,8.65,8.01,7.19,6.92,6.42,5.69,5.5,5.5,4.84,4.5,4.24,3.92,3.82,3.25,3.12,2.76,2.6,2.44,2.29,2.29,2.12,1.95,1.87,1.69,1.6,1.53,1.45,1.24,1.06,1.06,1.03,0.93,0.85,0.77,0.7,0.66,0.63,0.6,0.56,0.5,0.48,0.45,0.41,0.38,0.36,0.35,0.31,0.29,0.28,0.26,0.26,0.24,0.23,0.22,0.21,0.2,0.2,0.19,0.18,0.17,0.17,0.16,0.15,0.14,0.14,0.13,0.13,0.12,0.12,0.11,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.08,0.08,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
GWO,F5,7.89,283151282.44,194301815.56,97984044.8,73923910.3,67698322.46,49365400.05,33289002.02,25359177.44,13137608.42,10994662.9,5596749.04,2992502.78,1235713.75,880337.41,576946.24,514013.45,326808.67,229019.87,159682.59,116717.09,89205.36,48610.95,35291.82,25621.33,19266.92,17626.92,9020.23,7589.77,4996.77,4116.17,2890.43,1855.23,1848.55,1084.86,930.69,641.2,595.7,416.69,343.73,234.47,207.49,176.52,142.79,115.11,86.49,72.9,58.45,56.18,48.92,43.97,40.71,37.98,36.23,34.72,32.7,32.28,31.54,30.92,30.59,30.38,29.79,29.61,29.51,29.12,29.04,28.94,28.91,28.74,28.7,28.52,28.49,28.43,28.34,28.3,28.26,28.2,28.19,28.09,27.85,27.82,27.76,27.74,27.74,27.73,27.73,27.73,27.72,27.72,27.71,27.71,27.71,27.71,27.7,27.7,27.68,27.67,27.67,27.67,27.66,27.65,27.64,27.64,27.64,27.58,27.58,27.57,27.56,27.54,27.5,27.5,27.5,27.5,27.45,27.44,27.44,27.44,27.44,27.41,27.41,27.41,27.41,27.41,27.38,27.34,27.32,27.32,27.32,27.32,27.32,27.32,27.31,27.31,27.31,27.31,27.31,27.3,27.3,27.3,27.3,27.3,27.3,27.3,27.3,27.3,27.3,27.3,27.3,27.29,27.29,27.29,27.29,27.28,27.28,27.28,27.28,27.26,27.26,27.25,27.25,27.25,27.25,27.25,27.25,27.25,27.25,27.25,27.25,27.24,27.24,27.24,27.24,27.24,27.24,27.24,27.24,27.24,27.24,27.23,27.23,27.23,27.23,27.23,27.23,27.23,27.23,27.23,27.22,27.22,27.22,27.21,27.21,27.21,27.2,27.2,27.2,27.2,27.2,27.19,27.19,27.19
GWO,F6,10.21,75279.43,52112.2,38119.61,27915.14,19839.46,18302.56,14153.4,11729.99,8357.42,6856.22,5663.59,3796.54,2684.38,1711.82,1271.51,1058.39,733.96,585.84,486.08,345.05,286.74,201.66,143.78,109.23,81.19,56.37,45.39,32.67,25.26,19.88,16.89,12.07,9.14,6.96,5.45,4.7,4.42,4.02,3.61,3.31,3.12,3.01,2.93,2.77,2.6,2.5,2.4,2.26,2.24,2.21,2.21,2.19,2.19,2.17,2.14,2.13,2.07,2.04,2.04,2.02,2.0,2.0,1.98,1.93,1.93,1.91,1.9,1.9,1.86,1.86,1.86,1.86,1.85,1.85,1.85,1.84,1.83,1.83,1.83,1.83,1.8,1.8,1.79,1.74,1.72,1.72,1.69,1.67,1.66,1.66,1.65,1.62,1.62,1.62,1.62,1.62,1.62,1.6,1.58,1.58,1.57,1.57,1.57,1.56,1.56,1.56,1.56,1.55,1.55,1.54,1.5,1.5,1.5,1.49,1.49,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.46,1.45,1.45,1.45,1.45,1.44,1.44,1.42,1.42,1.42,1.4,1.4,1.39,1.38,1.38,1.37,1.37,1.37,1.36,1.36,1.35,1.35,1.34,1.34,1.34,1.34,1.34,1.33,1.33,1.32,1.31,1.31,1.31,1.31,1.3,1.3,1.3,1.3,1.29,1.29,1.28,1.28,1.27,1.27,1.27,1.27,1.27,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24
GWO,F7,7.66,124.6,78.28,49.06,30.51,23.58,12.46,9.55,3.64,2.47,1.7,1.39,1.0,0.99,0.79,0.71,0.6,0.53,0.35,0.34,0.23,0.22,0.17,0.14,0.13,0.13,0.12,0.1,0.08,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
GWO,F8,5.77,-2347.66,-2852.91,-2852.91,-2852.91,-2852.91,-2852.91,-2852.91,-2852.91,-2852.91,-2852.91,-2852.91,-2863.14,-2863.14,-2863.14,-2863.14,-2863.14,-2863.14,-2863.14,-2863.14,-2863.14,-2863.14,-2863.14,-2863.14,-2863.14,-2863.14,-2863.14,-2863.14,-2863.14,-2863.14,-2863.14,-2863.14,-2863.14,-2863.14,-2863.14,-2863.14,-2863.14,-2863.14,-2863.14,-2945.54,-3077.26,-3077.26,-3077.26,-3077.26,-3077.26,-3077.26,-3077.26,-3077.26,-3077.26,-3077.26,-3077.26,-3077.26,-3077.26,-3077.26,-3077.26,-3077.26,-3077.26,-3077.26,-3077.26,-3077.26,-3141.6,-3141.6,-3162.18,-3162.18,-3162.18,-3204.5,-3204.5,-3204.5,-3204.5,-3204.5,-3204.5,-3204.5,-3204.5,-3204.5,-3204.5,-3204.5,-3204.5,-3204.5,-3252.83,-3252.83,-3252.83,-3252.83,-3252.83,-3252.83,-3252.83,-3252.83,-3252.83,-3270.06,-3270.06,-3270.06,-3270.06,-3270.06,-3270.06,-3270.06,-3270.06,-3270.06,-3270.06,-3270.06,-3270.06,-3360.03,-3360.03,-3360.03,-3360.03,-3360.03,-3360.03,-3360.03,-3360.03,-3360.03,-3378.19,-3378.19,-3378.19,-3480.86,-3480.86,-3480.86,-3480.86,-3480.86,-3480.86,-3532.76,-3532.76,-3532.76,-3553.0,-3553.0,-3553.0,-3553.0,-3564.43,-3564.43,-3677.63,-3772.17,-3876.79,-4181.44,-4181.44,-4181.44,-4183.14,-4183.14,-4183.14,-4183.14,-4183.14,-4200.46,-4200.46,-4231.26,-4231.26,-4409.75,-4424.58,-4424.58,-4424.58,-4424.58,-4451.84,-4470.86,-4470.86,-4707.95,-4707.95,-4739.39,-4739.39,-4739.39,-4739.39,-4770.62,-4773.57,-4800.91,-4853.56,-4853.56,-4853.56,-4856.53,-4856.53,-5069.6,-5146.33,-5270.83,-5334.88,-5391.9,-5396.46,-5563.2,-5657.65,-5680.06,-5753.02,-5943.18,-5960.8,-6078.63,-6080.62,-6102.47,-6203.97,-6265.37,-6304.71,-6376.28,-6389.05,-6389.05,-6403.0,-6485.24,-6507.44,-6508.3,-6537.35,-6560.39,-6579.65,-6592.36,-6623.78,-6640.35,-6662.87,-6682.77,-6694.71,-6719.4,-6729.77,-6738.55,-6744.48
GWO,F9,7.94,428.79,393.8,372.85,347.44,340.78,339.22,322.75,316.04,316.04,314.5,312.83,294.73,287.14,287.14,285.35,285.35,278.96,267.4,248.43,244.65,244.65,235.97,235.97,231.75,231.75,229.71,229.71,216.39,205.97,205.97,205.97,197.63,197.63,197.63,197.63,184.61,174.84,174.84,170.34,169.33,164.58,141.73,141.73,141.73,141.73,141.73,141.73,141.73,133.16,133.16,133.16,133.16,133.16,129.38,129.38,129.38,129.38,129.38,129.38,129.38,129.38,129.38,129.38,129.38,129.38,129.38,129.38,120.64,120.64,120.64,118.2,118.2,118.2,118.2,118.2,118.2,114.11,114.11,114.11,114.11,108.58,108.22,108.22,108.22,106.67,106.67,106.67,106.53,103.19,97.11,97.11,97.11,91.69,86.33,86.33,86.33,86.33,85.34,84.84,84.84,78.98,77.7,77.7,77.7,77.7,74.15,74.15,74.15,74.15,74.15,74.15,70.91,69.37,69.37,69.37,69.37,69.37,69.07,69.07,66.57,64.13,59.43,59.43,59.43,59.43,59.43,58.12,58.12,57.58,57.58,57.58,57.58,57.58,57.58,57.58,57.58,57.43,57.29,55.26,52.39,52.39,52.39,51.76,50.31,50.31,49.72,48.66,48.6,48.6,46.51,44.44,42.7,41.95,41.09,39.95,39.95,39.95,39.95,39.95,39.17,39.17,39.17,39.17,39.17,38.43,38.38,37.35,36.77,36.32,36.32,35.58,35.46,35.46,34.84,34.7,34.34,33.82,33.45,32.97,32.95,32.95,32.12,31.87,31.33,31.04,30.84,30.66,30.57,30.12,30.09,29.72,29.43,29.38,29.09,28.97,28.79,28.66,28.55,28.45,28.38
GWO,F10,5.76,20.71,20.44,19.82,19.58,18.51,18.2,17.49,16.63,15.72,14.64,13.27,12.84,12.1,11.1,10.24,9.44,8.15,7.65,6.71,5.98,5.41,4.79,4.51,4.09,3.87,3.41,3.19,2.94,2.63,2.35,2.15,1.92,1.6,1.24,0.98,0.82,0.58,0.44,0.36,0.32,0.24,0.19,0.14,0.12,0.09,0.07,0.06,0.05,0.04,0.04,0.03,0.03,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
